
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5935 deg>, 'src_raj': <Angle 2.30407333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.191296296296, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/spliced_blc0x1x2x_guppi_59524_16528_OFF_HD13908_0031.rawspec.0000.h5, max_drift=10.0, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 21.496883, Drift Rate -0.000000, index 202309
Top hit found! SNR 13.530428, Drift Rate -0.000000, index 262563
Top hit found! SNR 14.787231, Drift Rate -0.000000, index 265667
Top hit found! SNR 11.161584, Drift Rate -0.000000, index 298659
Top hit found! SNR 22.957554, Drift Rate -0.000000, index 328526
Top hit found! SNR 25.777224, Drift Rate 0.009566, index 331651
Top hit found! SNR 21.407398, Drift Rate 0.009566, index 334310
Top hit found! SNR 19.730303, Drift Rate -0.000000, index 427466
Top hit found! SNR 25.773781, Drift Rate -0.000000, index 463613
Top hit found! SNR 69.570900, Drift Rate -5.653795, index 524028
Top hit found! SNR 1893.140503, Drift Rate -0.000000, index 592370
Top hit found! SNR 592.160095, Drift Rate -0.000000, index 595575
Top hit found! SNR 99.234444, Drift Rate -0.000000, index 598302
Top hit found! SNR 15.312857, Drift Rate -0.000000, index 727537
Top hit found! SNR 23.802492, Drift Rate -0.000000, index 757274
Top hit found! SNR 28.364548, Drift Rate -0.000000, index 775946
Top hit found! SNR 85.367188, Drift Rate -0.000000, index 856214
Top hit found! SNR 15.667089, Drift Rate -0.000000, index 862295
Top hit found! SNR 22.559851, Drift Rate -0.000000, index 889196
Top hit found! SNR 47.791096, Drift Rate -0.000000, index 922178
Top hit found! SNR 11.555359, Drift Rate -0.000000, index 928295
Top hit found! SNR 13.604587, Drift Rate -0.009566, index 955159
Top hit found! SNR 68.159706, Drift Rate -0.000000, index 981331
Top hit found! SNR 62.321743, Drift Rate -0.000000, index 988141
Top hit found! SNR 19.106859, Drift Rate -0.000000, index 71487
Top hit found! SNR 10.382580, Drift Rate -0.000000, index 77716
Top hit found! SNR 1466.691406, Drift Rate -0.000000, index 203409
Top hit found! SNR 377.286102, Drift Rate -0.000000, index 206907
Top hit found! SNR 508.440491, Drift Rate -0.000000, index 209712
Top hit found! SNR 22.575829, Drift Rate -0.000000, index 335331
Top hit found! SNR 11.273193, Drift Rate -0.009566, index 470833
Top hit found! SNR 62.283096, Drift Rate 1.224511, index 524345
Top hit found! SNR 15.182234, Drift Rate -0.000000, index 602801
Top hit found! SNR 327.296539, Drift Rate -0.000000, index 863024
Top hit found! SNR 136.405945, Drift Rate -0.000000, index 866728
Top hit found! SNR 14.616079, Drift Rate -0.000000, index 144256
Top hit found! SNR 46.704712, Drift Rate -0.000000, index 474064
Top hit found! SNR 28.801277, Drift Rate -0.000000, index 477973
Top hit found! SNR 13.440824, Drift Rate -0.000000, index 481108
Top hit found! SNR 55.529976, Drift Rate 4.821511, index 524508
Top hit found! SNR 10.538138, Drift Rate -0.000000, index 737908
Top hit found! SNR 10.777409, Drift Rate -0.000000, index 869834
Top hit found! SNR 473.864685, Drift Rate -0.000000, index 85103
Top hit found! SNR 25.244215, Drift Rate -0.000000, index 89218
Top hit found! SNR 18.133537, Drift Rate -0.000000, index 221071
Top hit found! SNR 13.507637, Drift Rate -0.000000, index 250006
Top hit found! SNR 95.552460, Drift Rate -0.000000, index 348947
Top hit found! SNR 24.000795, Drift Rate -0.000000, index 353033
Top hit found! SNR 25.265347, Drift Rate -0.000000, index 381928
Top hit found! SNR 66.152771, Drift Rate -0.000000, index 414910
Top hit found! SNR 14.169689, Drift Rate -0.000000, index 419128
Top hit found! SNR 29.871679, Drift Rate -0.000000, index 447892
Top hit found! SNR 10.183258, Drift Rate -0.000000, index 452120
Top hit found! SNR 62.606941, Drift Rate -0.009566, index 480873
Top hit found! SNR 39.008099, Drift Rate -0.000000, index 485000
Top hit found! SNR 50.719048, Drift Rate 5.051106, index 524518
Top hit found! SNR 12.203782, Drift Rate -0.000000, index 546832
Top hit found! SNR 37.776463, Drift Rate -0.000000, index 579814
Top hit found! SNR 29.395958, Drift Rate -0.000000, index 583970
Top hit found! SNR 113.857193, Drift Rate -0.000000, index 612796
Top hit found! SNR 44.486149, Drift Rate -0.000000, index 617075
Top hit found! SNR 21.639820, Drift Rate -0.000000, index 645777
Top hit found! SNR 11.449290, Drift Rate -0.000000, index 650067
Top hit found! SNR 996.793884, Drift Rate -0.000000, index 744718
Top hit found! SNR 421.054993, Drift Rate -0.000000, index 748924
Top hit found! SNR 167.926102, Drift Rate 0.009566, index 752504
Top hit found! SNR 45.937794, Drift Rate -0.000000, index 876640
Top hit found! SNR 24.188169, Drift Rate -0.000000, index 880886
Top hit found! SNR 21.024740, Drift Rate -0.009566, index 909621
Top hit found! SNR 21.608526, Drift Rate -0.000000, index 913878
Top hit found! SNR 13.585905, Drift Rate 0.009566, index 1012849
Top hit found! SNR 14.925076, Drift Rate -0.000000, index 96239
Top hit found! SNR 26.265303, Drift Rate -0.000000, index 160782
Top hit found! SNR 14.943710, Drift Rate 0.009566, index 228202
Top hit found! SNR 424.889221, Drift Rate -0.000000, index 355757
Top hit found! SNR 192.702881, Drift Rate 0.009566, index 360164
Top hit found! SNR 46.263393, Drift Rate 2.391623, index 524397
Top hit found! SNR 116.019524, Drift Rate -0.000000, index 1015372
Top hit found! SNR 18.966921, Drift Rate -0.000000, index 1020104
Top hit found! SNR 18.217972, Drift Rate -0.000000, index 98718
Top hit found! SNR 10.920404, Drift Rate -0.000000, index 131700
Top hit found! SNR 17.690094, Drift Rate -0.000000, index 230640
