
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=10.0, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 44.181530, Drift Rate -0.000000, index 974521
Top hit found! SNR 30.981070, Drift Rate -0.000000, index 57872
Top hit found! SNR 29.477211, Drift Rate -0.000000, index 156812
Top hit found! SNR 4108.091797, Drift Rate -0.000000, index 321716
Top hit found! SNR 37.964615, Drift Rate -0.000000, index 324520
Top hit found! SNR 10.868602, Drift Rate -0.000000, index 486620
Top hit found! SNR 53.384480, Drift Rate -0.000000, index 585560
Top hit found! SNR 26.234205, Drift Rate -0.000000, index 618542
Top hit found! SNR 34.689037, Drift Rate -0.000000, index 651524
Top hit found! SNR 65.264984, Drift Rate -0.000000, index 717487
Top hit found! SNR 11.209757, Drift Rate -0.000000, index 816427
Top hit found! SNR 28.336662, Drift Rate -0.000000, index 849409
Top hit found! SNR 10.713930, Drift Rate -0.000000, index 854896
Top hit found! SNR 2218.727295, Drift Rate -0.000000, index 981331
Top hit found! SNR 86.678505, Drift Rate -0.000000, index 984336
Top hit found! SNR 261.711456, Drift Rate -0.000000, index 986892
Top hit found! SNR 16.206261, Drift Rate -0.000000, index 97659
Top hit found! SNR 15.457431, Drift Rate -0.000000, index 196600
Top hit found! SNR 38.834068, Drift Rate -0.000000, index 199684
Top hit found! SNR 22.566072, Drift Rate -0.000000, index 202309
Top hit found! SNR 22.215136, Drift Rate -0.000000, index 262563
Top hit found! SNR 24.482113, Drift Rate -0.000000, index 328526
Top hit found! SNR 32.130108, Drift Rate -0.000000, index 331651
