,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
2037,823,-0.19133,33.742249,2180.872297,309948,2180.876379,2180.86822,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2038,824,-0.200896,20.990139,2180.866711,311947,2180.870793,2180.862635,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2039,825,-0.19133,20.592161,2180.859657,314472,2180.863739,2180.85558,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2040,826,-0.172197,27.503475,2180.853189,316787,2180.857271,2180.849112,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2041,827,-0.19133,28.713882,2180.846723,319101,2180.850805,2180.842647,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2042,828,-0.172197,37.950722,2180.840549,321311,2180.844631,2180.836472,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2043,829,0.229596,26.723795,2180.836386,322801,2180.840468,2180.832309,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2044,830,-0.181763,40.669815,2180.831438,324572,2180.83552,2180.827361,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2045,831,-0.172197,60.833393,2180.824383,327097,2180.828465,2180.820306,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2046,832,-0.181763,31.926847,2180.814389,330674,2180.818471,2180.810312,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
