
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.1645305668710781, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 45827.843750, Drift Rate -0.000000, index 558329
Top hit found! SNR 288.285919, Drift Rate -0.000000, index 559932
Top hit found! SNR 78.001251, Drift Rate -0.000000, index 559975
Top hit found! SNR 345.682648, Drift Rate -0.000000, index 561295
Top hit found! SNR 12.362103, Drift Rate -0.000000, index 690251
Top hit found! SNR 13.713382, Drift Rate -0.000000, index 691894
Top hit found! SNR 41.239853, Drift Rate -0.000000, index 723233
Top hit found! SNR 12.144306, Drift Rate -0.000000, index 748374
Top hit found! SNR 126.346344, Drift Rate -0.000000, index 822173
Top hit found! SNR 14.933294, Drift Rate -0.000000, index 823856
Top hit found! SNR 32.502403, Drift Rate -0.000000, index 823902
Top hit found! SNR 37.100433, Drift Rate -0.000000, index 825288
Top hit found! SNR 26.773291, Drift Rate -0.000000, index 855155
Top hit found! SNR 13.004731, Drift Rate -0.000000, index 858288
Top hit found! SNR 39.224094, Drift Rate -0.000000, index 888136
Top hit found! SNR 53.200390, Drift Rate -0.000000, index 921118
Top hit found! SNR 11.730927, Drift Rate -0.000000, index 924289
Top hit found! SNR 13.657637, Drift Rate -0.000000, index 947290
Top hit found! SNR 76.792648, Drift Rate -0.000000, index 954100
Top hit found! SNR 14.183343, Drift Rate -0.000000, index 955823
Top hit found! SNR 13.948105, Drift Rate -0.000000, index 955870
Top hit found! SNR 20.135403, Drift Rate -0.000000, index 957289
Top hit found! SNR 38.243904, Drift Rate -0.000000, index 987077
