
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=31.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 108.234856, Drift Rate -0.000000, index 395808
Top hit found! SNR 10.541560, Drift Rate -0.000000, index 653643
Top hit found! SNR 11.044589, Drift Rate -0.000000, index 917492
Top hit found! SNR 15.850988, Drift Rate -0.000000, index 838
Top hit found! SNR 33.908577, Drift Rate -0.000000, index 660453
Top hit found! SNR 73.646568, Drift Rate -0.000000, index 271492
Top hit found! SNR 22.130064, Drift Rate -0.000000, index 931107
Top hit found! SNR 31.534651, Drift Rate -0.000000, index 938102
Top hit found! SNR 10.176695, Drift Rate -0.000000, index 542146
Top hit found! SNR 17.956646, Drift Rate -0.000000, index 549347
Top hit found! SNR 19.789871, Drift Rate 0.009566, index 153186
Top hit found! SNR 79.461067, Drift Rate -0.000000, index 160592
Top hit found! SNR 104.266464, Drift Rate -0.000000, index 412440
Top hit found! SNR 19.929312, Drift Rate -0.000000, index 694494
Top hit found! SNR 31.266100, Drift Rate -0.000000, index 305533
Top hit found! SNR 28.873363, Drift Rate -0.000000, index 965148
Top hit found! SNR 13.289205, Drift Rate 0.009566, index 576188
Top hit found! SNR 10.556664, Drift Rate -0.000000, index 467095
Top hit found! SNR 24.284758, Drift Rate -0.000000, index 728535
Top hit found! SNR 43.997433, Drift Rate -0.000000, index 230687
Top hit found! SNR 17.378635, Drift Rate -0.000000, index 610229
Top hit found! SNR 18.916817, Drift Rate -0.000000, index 971680
Top hit found! SNR 15.981622, Drift Rate -0.000000, index 221268
Top hit found! SNR 13.379870, Drift Rate -0.000000, index 880883
Top hit found! SNR 52171.363281, Drift Rate -0.000000, index 664098
Top hit found! SNR 13.103999, Drift Rate 0.009566, index 137003
Top hit found! SNR 158.820480, Drift Rate 0.124364, index 156397
Top hit found! SNR 12.752679, Drift Rate -0.038266, index 191480
Top hit found! SNR 12.738433, Drift Rate -0.000000, index 300592
Top hit found! SNR 12.897540, Drift Rate -0.000000, index 872895
Top hit found! SNR 21.410574, Drift Rate -0.028699, index 874867
Top hit found! SNR 15.437308, Drift Rate -0.047832, index 894779
Top hit found! SNR 14.432975, Drift Rate 0.009566, index 244085
Top hit found! SNR 6317.556641, Drift Rate -0.000000, index 524225
Top hit found! SNR 87.355766, Drift Rate -25.465996, index 523124
Top hit found! SNR 87.312561, Drift Rate -28.211578, index 522999
Top hit found! SNR 88.107437, Drift Rate -25.006804, index 523143
Top hit found! SNR 89.434341, Drift Rate -28.785568, index 522971
Top hit found! SNR 28.823477, Drift Rate -0.000000, index 803908
Top hit found! SNR 89.598610, Drift Rate -16.655258, index 523527
Top hit found! SNR 88.125359, Drift Rate -8.447210, index 523903
Top hit found! SNR 87.983498, Drift Rate 28.441174, index 525588
Top hit found! SNR 554.920471, Drift Rate -0.000000, index 367591
Top hit found! SNR 88.620087, Drift Rate 30.784964, index 525697
Top hit found! SNR 86.654503, Drift Rate -30.124876, index 522911
Top hit found! SNR 28.217510, Drift Rate -0.028699, index 228791
Top hit found! SNR 13.467154, Drift Rate -0.028699, index 248692
Top hit found! SNR 85.511375, Drift Rate -1.961130, index 524199
Top hit found! SNR 83.218826, Drift Rate -8.399378, index 523902
Top hit found! SNR 83.111931, Drift Rate -27.140131, index 523048
Top hit found! SNR 82.239555, Drift Rate 15.048088, index 524977
Top hit found! SNR 83.067619, Drift Rate 18.587690, index 525139
Top hit found! SNR 82.051819, Drift Rate -30.938028, index 522874
Top hit found! SNR 178.459961, Drift Rate 29.474356, index 525635
Top hit found! SNR 80.220383, Drift Rate 22.203823, index 525302
Top hit found! SNR 77.444962, Drift Rate -6.074721, index 524011
Top hit found! SNR 76.411018, Drift Rate -24.270184, index 523177
Top hit found! SNR 76.875923, Drift Rate 30.096176, index 525664
Top hit found! SNR 77.240349, Drift Rate -12.139875, index 523734
Top hit found! SNR 74.375542, Drift Rate 30.871063, index 525699
Top hit found! SNR 73.163826, Drift Rate 11.154527, index 524798
Top hit found! SNR 72.312737, Drift Rate -31.416353, index 522852
Top hit found! SNR 70.586029, Drift Rate -10.704902, index 523799
Top hit found! SNR 70.505440, Drift Rate 3.539601, index 524449
Top hit found! SNR 15.344047, Drift Rate -0.028699, index 651179
Top hit found! SNR 69.859581, Drift Rate -30.497969, index 522892
Top hit found! SNR 16.752028, Drift Rate -0.009566, index 546727
Top hit found! SNR 68.910469, Drift Rate 23.581398, index 525367
Top hit found! SNR 66.471375, Drift Rate 6.151253, index 524568
Top hit found! SNR 66.283684, Drift Rate 5.663362, index 524548
Top hit found! SNR 65.270760, Drift Rate -17.985001, index 523464
Top hit found! SNR 60.237854, Drift Rate -20.548820, index 523347
Top hit found! SNR 61.650497, Drift Rate -10.733602, index 523798
Top hit found! SNR 59.101273, Drift Rate -27.561056, index 523029
Top hit found! SNR 57.526936, Drift Rate -17.937168, index 523467
Top hit found! SNR 55.932854, Drift Rate -11.489354, index 523763
Top hit found! SNR 55.900604, Drift Rate -3.463069, index 524130
Top hit found! SNR 54.358913, Drift Rate 0.794019, index 524325
Top hit found! SNR 53.844193, Drift Rate -2.850814, index 524158
Top hit found! SNR 53.634548, Drift Rate -14.416700, index 523630
Top hit found! SNR 52.643051, Drift Rate -10.370075, index 523814
Top hit found! SNR 50.691311, Drift Rate -1.004481, index 524242
Top hit found! SNR 19.506575, Drift Rate 0.009566, index 174057
Top hit found! SNR 52.017406, Drift Rate 22.433418, index 525314
Top hit found! SNR 53.255688, Drift Rate -29.751783, index 522926
Top hit found! SNR 53.608490, Drift Rate 27.838486, index 525561
