
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 15.975838, Drift Rate -0.047832, index 695963
Top hit found! SNR 320.277039, Drift Rate -0.114798, index 698996
Top hit found! SNR 1244.661377, Drift Rate -0.066965, index 737595
Top hit found! SNR 4116.957520, Drift Rate 0.105231, index 739128
Top hit found! SNR 26.104546, Drift Rate -0.143497, index 844248
Top hit found! SNR 453.975159, Drift Rate 0.181763, index 846548
Top hit found! SNR 10.874464, Drift Rate 0.210463, index 953968
Top hit found! SNR 918.626404, Drift Rate -0.000000, index 524287
Top hit found! SNR 1020.831299, Drift Rate -0.000000, index 794942
Top hit found! SNR 1887.114014, Drift Rate -0.000000, index 17021
Top hit found! SNR 29.085693, Drift Rate 0.009566, index 245174
Top hit found! SNR 23.282448, Drift Rate 0.009566, index 245835
Top hit found! SNR 41.058453, Drift Rate 0.009566, index 249454
Top hit found! SNR 151.752930, Drift Rate -0.000000, index 251380
Top hit found! SNR 211.233826, Drift Rate -0.000000, index 405981
Top hit found! SNR 363.479065, Drift Rate 0.019133, index 524290
Top hit found! SNR 13.704552, Drift Rate -0.000000, index 801752
Top hit found! SNR 40.685059, Drift Rate -0.000000, index 900693
Top hit found! SNR 12.722342, Drift Rate -0.000000, index 933675
Top hit found! SNR 3571.965576, Drift Rate -0.000000, index 17021
Top hit found! SNR 12.378065, Drift Rate -0.000000, index 181924
Top hit found! SNR 18.568130, Drift Rate -0.000000, index 280865
Top hit found! SNR 64.061501, Drift Rate -0.000000, index 346828
Top hit found! SNR 10.078558, Drift Rate -0.000000, index 413738
Top hit found! SNR 71.302666, Drift Rate -0.000000, index 511732
Top hit found! SNR 299.440460, Drift Rate 0.009566, index 524290
Top hit found! SNR 59051.386719, Drift Rate -0.000000, index 676636
Top hit found! SNR 4518.925781, Drift Rate -0.000000, index 677637
Top hit found! SNR 1128.476562, Drift Rate 0.009566, index 678490
Top hit found! SNR 11.170387, Drift Rate -0.000000, index 709618
Top hit found! SNR 18.000460, Drift Rate -0.000000, index 775576
Top hit found! SNR 47.534035, Drift Rate -0.000000, index 808558
