
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.15187436941945667, min_drift=0.10124957961297112, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.744362, Drift Rate -0.105231, index 843742
Top hit found! SNR 10.696179, Drift Rate -0.105231, index 844100
Top hit found! SNR 10.218181, Drift Rate -0.124364, index 844131
Top hit found! SNR 10.952806, Drift Rate -0.143497, index 844452
Top hit found! SNR 11.418227, Drift Rate -0.105231, index 845174
Top hit found! SNR 10.777406, Drift Rate -0.143497, index 845547
Top hit found! SNR 11.165470, Drift Rate -0.114798, index 846260
Top hit found! SNR 11.055206, Drift Rate -0.114798, index 846609
Top hit found! SNR 11.487189, Drift Rate -0.114798, index 846976
Top hit found! SNR 11.263725, Drift Rate -0.114798, index 847325
Top hit found! SNR 12.457353, Drift Rate -0.105231, index 848395
Top hit found! SNR 12.140522, Drift Rate -0.105231, index 848753
Top hit found! SNR 12.082773, Drift Rate -0.143497, index 849111
Top hit found! SNR 12.134364, Drift Rate -0.124364, index 849464
Top hit found! SNR 12.214193, Drift Rate -0.105231, index 849827
Top hit found! SNR 12.727553, Drift Rate -0.114798, index 850197
Top hit found! SNR 12.543442, Drift Rate -0.143497, index 850902
Top hit found! SNR 12.791077, Drift Rate -0.105231, index 851258
Top hit found! SNR 13.691763, Drift Rate -0.143497, index 852690
Top hit found! SNR 13.773515, Drift Rate -0.105231, index 853048
Top hit found! SNR 13.046704, Drift Rate -0.124364, index 853079
Top hit found! SNR 14.304213, Drift Rate -0.124364, index 853759
Top hit found! SNR 14.423827, Drift Rate -0.114798, index 854134
Top hit found! SNR 14.360634, Drift Rate -0.143497, index 854495
Top hit found! SNR 13.960467, Drift Rate -0.114798, index 854841
Top hit found! SNR 14.623535, Drift Rate -0.143497, index 855555
Top hit found! SNR 15.386133, Drift Rate -0.105231, index 855911
Top hit found! SNR 14.816251, Drift Rate -0.105231, index 856627
Top hit found! SNR 15.751855, Drift Rate -0.114798, index 856985
Top hit found! SNR 15.268084, Drift Rate -0.124364, index 857346
Top hit found! SNR 15.157144, Drift Rate -0.143497, index 857701
Top hit found! SNR 16.303085, Drift Rate -0.114798, index 858071
Top hit found! SNR 15.187150, Drift Rate -0.124364, index 858412
Top hit found! SNR 16.455593, Drift Rate -0.114798, index 858787
Top hit found! SNR 16.219511, Drift Rate -0.105231, index 860206
Top hit found! SNR 16.754093, Drift Rate -0.105231, index 860922
Top hit found! SNR 18.049212, Drift Rate -0.105231, index 861280
Top hit found! SNR 17.050638, Drift Rate -0.105231, index 861638
Top hit found! SNR 16.670744, Drift Rate -0.124364, index 861669
Top hit found! SNR 16.515879, Drift Rate -0.114798, index 862366
Top hit found! SNR 17.448132, Drift Rate -0.143497, index 863429
Top hit found! SNR 18.503275, Drift Rate -0.114798, index 864143
Top hit found! SNR 17.812473, Drift Rate -0.105231, index 864501
Top hit found! SNR 18.489368, Drift Rate -0.105231, index 864859
Top hit found! SNR 18.636490, Drift Rate -0.143497, index 865590
Top hit found! SNR 18.394800, Drift Rate -0.114798, index 865945
Top hit found! SNR 19.596373, Drift Rate -0.143497, index 866664
Top hit found! SNR 18.931513, Drift Rate -0.114798, index 867010
Top hit found! SNR 19.885277, Drift Rate -0.114798, index 867377
Top hit found! SNR 19.827160, Drift Rate -0.105231, index 868438
Top hit found! SNR 20.822693, Drift Rate -0.105231, index 869512
Top hit found! SNR 19.327208, Drift Rate -0.124364, index 869543
Top hit found! SNR 20.574854, Drift Rate -0.143497, index 869885
Top hit found! SNR 20.508924, Drift Rate -0.124364, index 870581
Top hit found! SNR 21.453514, Drift Rate -0.114798, index 871314
Top hit found! SNR 21.791271, Drift Rate -0.114798, index 872375
Top hit found! SNR 22.276760, Drift Rate -0.105231, index 873449
Top hit found! SNR 22.626703, Drift Rate -0.105231, index 873807
Top hit found! SNR 21.713058, Drift Rate -0.124364, index 873838
Top hit found! SNR 22.872686, Drift Rate -0.114798, index 874535
Top hit found! SNR 22.424789, Drift Rate -0.114798, index 874893
Top hit found! SNR 22.218834, Drift Rate -0.114798, index 875251
Top hit found! SNR 22.439751, Drift Rate -0.114798, index 875609
Top hit found! SNR 23.117241, Drift Rate -0.124364, index 876315
Top hit found! SNR 24.497578, Drift Rate -0.143497, index 877744
Top hit found! SNR 24.285849, Drift Rate -0.124364, index 878455
Top hit found! SNR 24.385023, Drift Rate -0.143497, index 878833
Top hit found! SNR 24.216330, Drift Rate -0.143497, index 879191
Top hit found! SNR 24.902290, Drift Rate -0.114798, index 879546
Top hit found! SNR 24.454479, Drift Rate -0.143497, index 879907
Top hit found! SNR 25.748327, Drift Rate -0.105231, index 881323
Top hit found! SNR 26.758368, Drift Rate -0.105231, index 881681
Top hit found! SNR 26.662743, Drift Rate -0.124364, index 882034
Top hit found! SNR 26.101662, Drift Rate -0.143497, index 882397
Top hit found! SNR 25.646448, Drift Rate -0.143497, index 883128
Top hit found! SNR 26.351437, Drift Rate -0.114798, index 883483
Top hit found! SNR 27.315771, Drift Rate -0.114798, index 884199
Top hit found! SNR 27.229036, Drift Rate -0.105231, index 884544
Top hit found! SNR 27.942677, Drift Rate -0.105231, index 885260
