
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=0.1315720815425981, min_drift=0.08771472102839875, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 16.032312, Drift Rate -0.114798, index 473692
Top hit found! SNR 17.140903, Drift Rate -0.095665, index 473743
Top hit found! SNR 14.891721, Drift Rate 0.124364, index 473788
Top hit found! SNR 16.572636, Drift Rate -0.105231, index 473819
Top hit found! SNR 15.490029, Drift Rate 0.095665, index 473927
Top hit found! SNR 14.158337, Drift Rate 0.114798, index 474001
Top hit found! SNR 16.800440, Drift Rate -0.105231, index 474213
Top hit found! SNR 16.530191, Drift Rate -0.114798, index 474252
Top hit found! SNR 15.389689, Drift Rate 0.124364, index 474303
Top hit found! SNR 14.714890, Drift Rate -0.105231, index 474353
Top hit found! SNR 16.120945, Drift Rate 0.105231, index 474458
Top hit found! SNR 16.577126, Drift Rate 0.105231, index 474864
Top hit found! SNR 18.594538, Drift Rate -0.124364, index 474981
Top hit found! SNR 19.267624, Drift Rate 0.095665, index 475004
Top hit found! SNR 15.218289, Drift Rate -0.124364, index 475216
Top hit found! SNR 15.697351, Drift Rate -0.124364, index 475260
Top hit found! SNR 15.981038, Drift Rate 0.114798, index 475290
Top hit found! SNR 15.634124, Drift Rate 0.114798, index 475507
Top hit found! SNR 14.736937, Drift Rate 0.105231, index 475543
Top hit found! SNR 31.255085, Drift Rate 0.105231, index 475720
Top hit found! SNR 17.746609, Drift Rate -0.124364, index 476059
Top hit found! SNR 18.297235, Drift Rate -0.114798, index 476191
Top hit found! SNR 13.201817, Drift Rate 0.124364, index 476358
Top hit found! SNR 12.849569, Drift Rate 0.105231, index 476395
Top hit found! SNR 14.500160, Drift Rate 0.124364, index 476528
Top hit found! SNR 13.513882, Drift Rate 0.095665, index 476593
Top hit found! SNR 13.753323, Drift Rate 0.114798, index 476616
Top hit found! SNR 12.861148, Drift Rate -0.105231, index 476734
Top hit found! SNR 13.028104, Drift Rate -0.124364, index 476852
Top hit found! SNR 13.446440, Drift Rate 0.095665, index 476945
Top hit found! SNR 13.543077, Drift Rate 0.124364, index 477023
Top hit found! SNR 11.489627, Drift Rate 0.114798, index 477115
Top hit found! SNR 12.371646, Drift Rate 0.095665, index 477398
Top hit found! SNR 12.420642, Drift Rate 0.105231, index 477458
Top hit found! SNR 12.908360, Drift Rate 0.095665, index 477698
Top hit found! SNR 13.994471, Drift Rate 0.124364, index 477825
Top hit found! SNR 15.110539, Drift Rate -0.105231, index 477928
Top hit found! SNR 16.889198, Drift Rate -0.105231, index 478283
Top hit found! SNR 13.825368, Drift Rate -0.095665, index 478602
Top hit found! SNR 13.593641, Drift Rate 0.095665, index 478870
Top hit found! SNR 16.770212, Drift Rate 0.105231, index 479046
Top hit found! SNR 13.205257, Drift Rate -0.105231, index 479300
Top hit found! SNR 13.982993, Drift Rate 0.114798, index 479402
Top hit found! SNR 15.072249, Drift Rate 0.124364, index 479709
Top hit found! SNR 15.911326, Drift Rate 0.105231, index 479887
Top hit found! SNR 13.630311, Drift Rate 0.105231, index 480079
Top hit found! SNR 11.894686, Drift Rate -0.124364, index 480189
Top hit found! SNR 11.861225, Drift Rate -0.114798, index 480217
Top hit found! SNR 11.953740, Drift Rate 0.095665, index 480244
Top hit found! SNR 11.675405, Drift Rate -0.095665, index 480264
Top hit found! SNR 11.261957, Drift Rate -0.114798, index 480407
Top hit found! SNR 14.394875, Drift Rate 0.105231, index 480811
Top hit found! SNR 11.197367, Drift Rate 0.105231, index 480894
Top hit found! SNR 12.473845, Drift Rate 0.124364, index 481138
Top hit found! SNR 11.233309, Drift Rate -0.105231, index 481200
Top hit found! SNR 11.962112, Drift Rate -0.095665, index 481286
Top hit found! SNR 12.662055, Drift Rate 0.105231, index 481398
Top hit found! SNR 13.069798, Drift Rate -0.114798, index 481427
Top hit found! SNR 16.403259, Drift Rate -0.105231, index 481515
Top hit found! SNR 13.486434, Drift Rate -0.114798, index 481577
Top hit found! SNR 13.785021, Drift Rate 0.095665, index 481682
Top hit found! SNR 11.504018, Drift Rate -0.124364, index 481783
Top hit found! SNR 14.202017, Drift Rate 0.124364, index 481909
Top hit found! SNR 10.975891, Drift Rate -0.114798, index 482043
Top hit found! SNR 11.761153, Drift Rate 0.114798, index 482146
Top hit found! SNR 12.916624, Drift Rate 0.124364, index 482184
Top hit found! SNR 11.133393, Drift Rate -0.105231, index 482369
Top hit found! SNR 10.267789, Drift Rate -0.124364, index 484137
Top hit found! SNR 10.084730, Drift Rate 0.095665, index 488492
Top hit found! SNR 21.512804, Drift Rate 0.114798, index 490238
Top hit found! SNR 22.263428, Drift Rate 0.105231, index 490329
Top hit found! SNR 26.458935, Drift Rate -0.114798, index 490421
Top hit found! SNR 25.261253, Drift Rate -0.124364, index 490692
Top hit found! SNR 21.907579, Drift Rate 0.105231, index 490743
Top hit found! SNR 26.253052, Drift Rate 0.114798, index 490827
Top hit found! SNR 28.047615, Drift Rate -0.124364, index 490905
Top hit found! SNR 29.481604, Drift Rate -0.114798, index 490982
Top hit found! SNR 28.831451, Drift Rate -0.124364, index 491010
Top hit found! SNR 13.612148, Drift Rate 0.105231, index 528497
Top hit found! SNR 10.283924, Drift Rate 0.124364, index 528601
Top hit found! SNR 11.619569, Drift Rate 0.124364, index 528812
Top hit found! SNR 16.043144, Drift Rate -0.105231, index 528900
Top hit found! SNR 11.786066, Drift Rate 0.105231, index 537432
Top hit found! SNR 11.568739, Drift Rate -0.114798, index 554968
Top hit found! SNR 13.750191, Drift Rate -0.105231, index 571829
Top hit found! SNR 10.079274, Drift Rate 0.095665, index 572038
Top hit found! SNR 11.938688, Drift Rate 0.124364, index 573225
Top hit found! SNR 10.352716, Drift Rate -0.114798, index 573519
Top hit found! SNR 15.831420, Drift Rate -0.095665, index 573605
Top hit found! SNR 11.700634, Drift Rate -0.124364, index 584420
Top hit found! SNR 12.124995, Drift Rate -0.124364, index 587083
Top hit found! SNR 11.293709, Drift Rate -0.105231, index 600601
Top hit found! SNR 16.096899, Drift Rate -0.095665, index 611920
Top hit found! SNR 51.851257, Drift Rate 0.095665, index 627621
Top hit found! SNR 11.498056, Drift Rate 0.114798, index 630483
Top hit found! SNR 10.760897, Drift Rate 0.095665, index 630518
Top hit found! SNR 15.774903, Drift Rate -0.105231, index 334851
Top hit found! SNR 10.897753, Drift Rate -0.105231, index 378188
Top hit found! SNR 10.982927, Drift Rate 0.095665, index 461808
Top hit found! SNR 16.567217, Drift Rate -0.114798, index 557215
Top hit found! SNR 11.436370, Drift Rate 0.124364, index 557856
Top hit found! SNR 14.148321, Drift Rate 0.095665, index 582998
Top hit found! SNR 10.450067, Drift Rate -0.124364, index 593929
Top hit found! SNR 10.445465, Drift Rate -0.124364, index 594021
Top hit found! SNR 10.407707, Drift Rate 0.124364, index 594041
Top hit found! SNR 10.726839, Drift Rate 0.124364, index 594354
Top hit found! SNR 10.247410, Drift Rate -0.124364, index 594518
Top hit found! SNR 12.443471, Drift Rate 0.105231, index 594936
Top hit found! SNR 11.256918, Drift Rate -0.095665, index 595291
Top hit found! SNR 10.525982, Drift Rate 0.124364, index 624972
Top hit found! SNR 17.293482, Drift Rate 0.124364, index 627478
Top hit found! SNR 14.849002, Drift Rate -0.124364, index 627538
Top hit found! SNR 10.088556, Drift Rate 0.124364, index 642631
Top hit found! SNR 12.645611, Drift Rate 0.124364, index 653427
Top hit found! SNR 11.420292, Drift Rate -0.105231, index 657824
Top hit found! SNR 14.311116, Drift Rate 0.105231, index 658029
Top hit found! SNR 79.521370, Drift Rate 0.124364, index 695506
Top hit found! SNR 15.663548, Drift Rate 0.114798, index 797011
Top hit found! SNR 14.087521, Drift Rate -0.105231, index 825553
Top hit found! SNR 16.410223, Drift Rate -0.124364, index 825623
Top hit found! SNR 12.643916, Drift Rate -0.105231, index 837386
Top hit found! SNR 10.456295, Drift Rate -0.105231, index 837506
Top hit found! SNR 10.096848, Drift Rate -0.105231, index 850216
Top hit found! SNR 10.143380, Drift Rate 0.114798, index 850323
Top hit found! SNR 14.176972, Drift Rate -0.114798, index 856313
Top hit found! SNR 14.485714, Drift Rate 0.105231, index 856746
Top hit found! SNR 11.717574, Drift Rate 0.105231, index 871758
Top hit found! SNR 14.200072, Drift Rate 0.095665, index 871963
Top hit found! SNR 23.990410, Drift Rate 0.124364, index 993158
Top hit found! SNR 14.345569, Drift Rate -0.114798, index 993307
Top hit found! SNR 11.428738, Drift Rate 0.105231, index 14663
Top hit found! SNR 13.808824, Drift Rate -0.124364, index 58403
Top hit found! SNR 17.900522, Drift Rate 0.124364, index 58491
Top hit found! SNR 15.030532, Drift Rate -0.124364, index 73104
Top hit found! SNR 15.895428, Drift Rate 0.105231, index 87339
Top hit found! SNR 14.503822, Drift Rate -0.124364, index 94205
Top hit found! SNR 12.517777, Drift Rate -0.124364, index 94474
Top hit found! SNR 47.214817, Drift Rate -0.095665, index 94615
Top hit found! SNR 46.813618, Drift Rate 0.124364, index 94636
Top hit found! SNR 10.876825, Drift Rate 0.114798, index 99487
Top hit found! SNR 27.638351, Drift Rate -0.114798, index 109089
Top hit found! SNR 27.504328, Drift Rate 0.114798, index 109111
Top hit found! SNR 10.348989, Drift Rate 0.105231, index 115914
Top hit found! SNR 16.905529, Drift Rate 0.124364, index 117682
Top hit found! SNR 11.930855, Drift Rate -0.124364, index 117909
Top hit found! SNR 13.757486, Drift Rate -0.114798, index 118032
Top hit found! SNR 36.964607, Drift Rate 0.105231, index 118185
Top hit found! SNR 29.320318, Drift Rate 0.124364, index 118700
Top hit found! SNR 24.453190, Drift Rate -0.114798, index 136688
Top hit found! SNR 14.419115, Drift Rate 0.114798, index 137885
Top hit found! SNR 10.022423, Drift Rate 0.095665, index 146509
Top hit found! SNR 10.323699, Drift Rate -0.095665, index 147960
Top hit found! SNR 11.835659, Drift Rate -0.105231, index 151543
Top hit found! SNR 10.332193, Drift Rate 0.124364, index 159488
Top hit found! SNR 13.469501, Drift Rate -0.124364, index 162194
Top hit found! SNR 13.393442, Drift Rate -0.124364, index 162301
Top hit found! SNR 11.478197, Drift Rate -0.124364, index 162495
Top hit found! SNR 11.811322, Drift Rate 0.095665, index 166143
Top hit found! SNR 11.180877, Drift Rate 0.114798, index 177209
Top hit found! SNR 12.071342, Drift Rate 0.124364, index 178043
Top hit found! SNR 11.724889, Drift Rate 0.095665, index 195112
Top hit found! SNR 15.530515, Drift Rate -0.095665, index 199525
Top hit found! SNR 15.472733, Drift Rate 0.114798, index 199547
Top hit found! SNR 13.647428, Drift Rate -0.114798, index 227541
Top hit found! SNR 12.204967, Drift Rate 0.124364, index 271700
Top hit found! SNR 18.105621, Drift Rate 0.114798, index 327694
Top hit found! SNR 11.097207, Drift Rate 0.095665, index 329092
Top hit found! SNR 10.108815, Drift Rate 0.114798, index 329163
Top hit found! SNR 12.550916, Drift Rate -0.124364, index 347150
Top hit found! SNR 12.692473, Drift Rate 0.105231, index 347172
Top hit found! SNR 13.373301, Drift Rate -0.105231, index 418601
Top hit found! SNR 13.533281, Drift Rate 0.124364, index 446322
Top hit found! SNR 12.721208, Drift Rate 0.105231, index 446970
Top hit found! SNR 19.816946, Drift Rate -0.105231, index 461172
Top hit found! SNR 10.456906, Drift Rate -0.124364, index 461385
Top hit found! SNR 21.825443, Drift Rate -0.114798, index 462107
Top hit found! SNR 71.168808, Drift Rate -0.114798, index 528177
Top hit found! SNR 15.090089, Drift Rate 0.095665, index 528260
Top hit found! SNR 22.790913, Drift Rate -0.105231, index 716642
Top hit found! SNR 10.286248, Drift Rate 0.105231, index 719523
Top hit found! SNR 11.004574, Drift Rate 0.124364, index 721666
Top hit found! SNR 12.480718, Drift Rate 0.114798, index 721751
Top hit found! SNR 15.950179, Drift Rate -0.095665, index 736645
Top hit found! SNR 10.037879, Drift Rate 0.114798, index 747679
Top hit found! SNR 10.059242, Drift Rate 0.095665, index 752064
Top hit found! SNR 12.665520, Drift Rate -0.114798, index 781387
Top hit found! SNR 10.673993, Drift Rate 0.095665, index 781907
Top hit found! SNR 10.573787, Drift Rate 0.124364, index 786605
Top hit found! SNR 15.286859, Drift Rate 0.095665, index 796822
Top hit found! SNR 16.159801, Drift Rate -0.095665, index 826327
Top hit found! SNR 13.070486, Drift Rate -0.124364, index 900943
Top hit found! SNR 28.302086, Drift Rate -0.095665, index 901052
Top hit found! SNR 17.764105, Drift Rate -0.095665, index 913416
Top hit found! SNR 20.808941, Drift Rate -0.095665, index 913823
Top hit found! SNR 26.267015, Drift Rate -0.124364, index 915653
Top hit found! SNR 15.299742, Drift Rate 0.105231, index 915804
Top hit found! SNR 41.593502, Drift Rate -0.095665, index 916025
Top hit found! SNR 30.978067, Drift Rate -0.124364, index 930970
Top hit found! SNR 10.517497, Drift Rate -0.105231, index 945660
Top hit found! SNR 10.666471, Drift Rate 0.105231, index 945682
Top hit found! SNR 27.785074, Drift Rate -0.124364, index 959757
Top hit found! SNR 27.903931, Drift Rate 0.124364, index 959781
Top hit found! SNR 14.449488, Drift Rate 0.095665, index 959921
Top hit found! SNR 20.703566, Drift Rate -0.124364, index 960346
Top hit found! SNR 11.177615, Drift Rate -0.114798, index 960435
Top hit found! SNR 11.198312, Drift Rate 0.114798, index 960455
Top hit found! SNR 25.420155, Drift Rate -0.105231, index 14653
Top hit found! SNR 10.866947, Drift Rate -0.105231, index 58626
Top hit found! SNR 12.268603, Drift Rate -0.124364, index 58733
Top hit found! SNR 12.789900, Drift Rate 0.095665, index 58779
Top hit found! SNR 15.473768, Drift Rate -0.095665, index 58887
Top hit found! SNR 16.794268, Drift Rate -0.124364, index 58974
Top hit found! SNR 19.472160, Drift Rate -0.124364, index 59020
Top hit found! SNR 29.957554, Drift Rate 0.114798, index 59246
Top hit found! SNR 21.547655, Drift Rate -0.124364, index 59413
Top hit found! SNR 20.792158, Drift Rate -0.124364, index 59444
Top hit found! SNR 21.422052, Drift Rate 0.114798, index 61505
Top hit found! SNR 11.129163, Drift Rate -0.124364, index 88260
Top hit found! SNR 15.513767, Drift Rate 0.124364, index 88341
Top hit found! SNR 13.832927, Drift Rate -0.124364, index 88497
Top hit found! SNR 16.447996, Drift Rate 0.114798, index 88632
Top hit found! SNR 21.505688, Drift Rate -0.095665, index 88940
Top hit found! SNR 18.254995, Drift Rate -0.124364, index 89007
Top hit found! SNR 17.078613, Drift Rate -0.105231, index 89265
Top hit found! SNR 10.215595, Drift Rate -0.124364, index 103718
Top hit found! SNR 15.886907, Drift Rate -0.114798, index 104162
Top hit found! SNR 15.906692, Drift Rate -0.114798, index 104186
Top hit found! SNR 10.764811, Drift Rate -0.124364, index 118937
Top hit found! SNR 51.264153, Drift Rate -0.105231, index 150942
Top hit found! SNR 52.545078, Drift Rate 0.124364, index 150988
Top hit found! SNR 13.345604, Drift Rate -0.095665, index 163699
Top hit found! SNR 10.936141, Drift Rate -0.114798, index 195795
Top hit found! SNR 52.235275, Drift Rate -0.124364, index 240413
Top hit found! SNR 12.809885, Drift Rate 0.114798, index 240626
Top hit found! SNR 10.685995, Drift Rate -0.105231, index 591380
Top hit found! SNR 12.015218, Drift Rate -0.105231, index 594959
Top hit found! SNR 12.094049, Drift Rate -0.105231, index 595317
Top hit found! SNR 11.584741, Drift Rate -0.124364, index 595647
Top hit found! SNR 10.537185, Drift Rate -0.105231, index 596033
Top hit found! SNR 11.474050, Drift Rate -0.105231, index 596391
Top hit found! SNR 11.291119, Drift Rate -0.105231, index 596749
Top hit found! SNR 11.530154, Drift Rate -0.105231, index 597107
Top hit found! SNR 10.996440, Drift Rate -0.124364, index 597437
Top hit found! SNR 12.272159, Drift Rate -0.105231, index 597823
Top hit found! SNR 11.311420, Drift Rate -0.124364, index 598153
