
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.6564 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.18732638889, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_16185_ON_S_0030.rawspec.0000.h5, max_drift=0.21686506355568377, min_drift=0.14457670903712252, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 16.753740, Drift Rate 0.153064, index 242690
Top hit found! SNR 14.854671, Drift Rate 0.153064, index 244163
Top hit found! SNR 11.786069, Drift Rate 0.153064, index 245320
Top hit found! SNR 20.322651, Drift Rate 0.153064, index 245530
Top hit found! SNR 11.513263, Drift Rate 0.153064, index 249107
Top hit found! SNR 12.468117, Drift Rate 0.153064, index 251211
Top hit found! SNR 14.184816, Drift Rate 0.153064, index 251422
Top hit found! SNR 14.752374, Drift Rate 0.153064, index 253631
Top hit found! SNR 19.297857, Drift Rate 0.153064, index 256998
Top hit found! SNR 17.739706, Drift Rate 0.153064, index 258155
Top hit found! SNR 11.895397, Drift Rate 0.153064, index 260364
Top hit found! SNR 10.335323, Drift Rate 0.153064, index 266782
Top hit found! SNR 10.034820, Drift Rate 0.153064, index 269517
Top hit found! SNR 14.922836, Drift Rate 0.153064, index 274988
Top hit found! SNR 10.506762, Drift Rate 0.153064, index 275619
Top hit found! SNR 20.634413, Drift Rate 0.153064, index 276566
Top hit found! SNR 23.161940, Drift Rate 0.153064, index 277513
Top hit found! SNR 12.011851, Drift Rate 0.162630, index 281090
Top hit found! SNR 10.023075, Drift Rate 0.153064, index 283510
Top hit found! SNR 16.748878, Drift Rate 0.153064, index 297397
Top hit found! SNR 11.892551, Drift Rate 0.153064, index 308759
Top hit found! SNR 12.086364, Drift Rate 0.191330, index 376091
Top hit found! SNR 10.137139, Drift Rate 0.191330, index 380089
Top hit found! SNR 10.458905, Drift Rate 0.191330, index 389347
Top hit found! SNR 13.440800, Drift Rate 0.153064, index 147073
Top hit found! SNR 14.930488, Drift Rate 0.162630, index 150650
Top hit found! SNR 11.525722, Drift Rate 0.153064, index 180318
Top hit found! SNR 15.829905, Drift Rate 0.162630, index 185473
Top hit found! SNR 15.540877, Drift Rate 0.162630, index 186420
Top hit found! SNR 15.086956, Drift Rate 0.153064, index 186946
Top hit found! SNR 10.371472, Drift Rate 0.153064, index 191470
Top hit found! SNR 10.036254, Drift Rate 0.162630, index 198624
Top hit found! SNR 14.615252, Drift Rate 0.153064, index 207882
Top hit found! SNR 11.808961, Drift Rate 0.153064, index 211459
Top hit found! SNR 13.413132, Drift Rate 0.162630, index 224715
Top hit found! SNR 15.226021, Drift Rate 0.153064, index 225136
Top hit found! SNR 11.561160, Drift Rate 0.162630, index 227661
Top hit found! SNR 10.465427, Drift Rate 0.153064, index 237971
Top hit found! SNR 12.885388, Drift Rate 0.162630, index 240496
Top hit found! SNR 10.972565, Drift Rate 0.162630, index 241022
Top hit found! SNR 13.097719, Drift Rate 0.153064, index 244599
Top hit found! SNR 15.661983, Drift Rate 0.153064, index 244704
Top hit found! SNR 16.168825, Drift Rate 0.162630, index 245230
Top hit found! SNR 14.455302, Drift Rate 0.153064, index 251332
Top hit found! SNR 18.227989, Drift Rate 0.162630, index 254383
Top hit found! SNR 15.130749, Drift Rate 0.153064, index 255856
Top hit found! SNR 15.252312, Drift Rate 0.162630, index 256803
Top hit found! SNR 13.451199, Drift Rate 0.153064, index 260485
Top hit found! SNR 12.482121, Drift Rate 0.153064, index 260590
Top hit found! SNR 29.070105, Drift Rate 0.153064, index 262063
Top hit found! SNR 14.922441, Drift Rate 0.153064, index 265009
Top hit found! SNR 17.264893, Drift Rate 0.153064, index 267113
Top hit found! SNR 13.241961, Drift Rate 0.162630, index 269112
Top hit found! SNR 13.463355, Drift Rate 0.162630, index 270164
Top hit found! SNR 11.122525, Drift Rate 0.162630, index 273741
Top hit found! SNR 11.996723, Drift Rate 0.162630, index 274267
Top hit found! SNR 13.642849, Drift Rate 0.162630, index 274793
Top hit found! SNR 13.556572, Drift Rate 0.153064, index 276792
Top hit found! SNR 20.488092, Drift Rate 0.153064, index 277318
Top hit found! SNR 11.998649, Drift Rate 0.162630, index 277844
Top hit found! SNR 13.313509, Drift Rate 0.162630, index 278686
Top hit found! SNR 18.352262, Drift Rate 0.153064, index 278791
Top hit found! SNR 14.850466, Drift Rate 0.162630, index 279317
Top hit found! SNR 15.010006, Drift Rate 0.153064, index 280369
Top hit found! SNR 12.213428, Drift Rate 0.162630, index 280895
Top hit found! SNR 13.565310, Drift Rate 0.162630, index 281421
Top hit found! SNR 10.456863, Drift Rate 0.153064, index 283420
Top hit found! SNR 15.641088, Drift Rate 0.153064, index 283841
Top hit found! SNR 12.626528, Drift Rate 0.153064, index 284367
Top hit found! SNR 22.534843, Drift Rate 0.153064, index 288049
Top hit found! SNR 10.117539, Drift Rate 0.153064, index 289101
Top hit found! SNR 15.386402, Drift Rate 0.153064, index 290995
Top hit found! SNR 20.035444, Drift Rate 0.153064, index 291521
Top hit found! SNR 17.100279, Drift Rate 0.153064, index 295203
Top hit found! SNR 13.404725, Drift Rate 0.162630, index 300253
Top hit found! SNR 35.896534, Drift Rate 0.162630, index 300779
Top hit found! SNR 11.148995, Drift Rate 0.153064, index 302357
Top hit found! SNR 11.327524, Drift Rate 0.162630, index 303830
Top hit found! SNR 12.509765, Drift Rate 0.162630, index 304356
Top hit found! SNR 12.398005, Drift Rate 0.162630, index 306250
Top hit found! SNR 22.198851, Drift Rate 0.153064, index 306776
Top hit found! SNR 11.097087, Drift Rate 0.162630, index 310458
Top hit found! SNR 13.705482, Drift Rate 0.162630, index 311405
Top hit found! SNR 13.785282, Drift Rate 0.153064, index 314561
Top hit found! SNR 14.906449, Drift Rate 0.153064, index 322241
Top hit found! SNR 20.059954, Drift Rate 0.153064, index 338969
Top hit found! SNR 10.147211, Drift Rate 0.153064, index 340021
Top hit found! SNR 13.832004, Drift Rate 0.162630, index 344545
Top hit found! SNR 14.826551, Drift Rate 0.162630, index 345597
Top hit found! SNR 10.668743, Drift Rate 0.153064, index 346228
Top hit found! SNR 11.393132, Drift Rate 0.162630, index 348227
Top hit found! SNR 10.881399, Drift Rate 0.162630, index 353908
Top hit found! SNR 11.963022, Drift Rate 0.162630, index 356328
Top hit found! SNR 21.891834, Drift Rate 0.153064, index 356433
Top hit found! SNR 12.546965, Drift Rate 0.153064, index 357380
Top hit found! SNR 33.782692, Drift Rate 0.153064, index 364008
Top hit found! SNR 10.554318, Drift Rate 0.162630, index 364429
Top hit found! SNR 10.855235, Drift Rate 0.153064, index 368006
Top hit found! SNR 14.524496, Drift Rate 0.162630, index 369163
Top hit found! SNR 15.944151, Drift Rate 0.153064, index 372214
Top hit found! SNR 10.967124, Drift Rate 0.162630, index 373792
Top hit found! SNR 11.548378, Drift Rate 0.153064, index 376107
Top hit found! SNR 12.517577, Drift Rate 0.153064, index 376317
Top hit found! SNR 11.126360, Drift Rate 0.162630, index 377790
Top hit found! SNR 12.342571, Drift Rate 0.162630, index 377895
Top hit found! SNR 11.363939, Drift Rate 0.153064, index 380841
Top hit found! SNR 12.308870, Drift Rate 0.162630, index 388100
Top hit found! SNR 13.405440, Drift Rate 0.153064, index 391572
Top hit found! SNR 19.835217, Drift Rate 0.162630, index 400830
Top hit found! SNR 12.409215, Drift Rate 0.153064, index 402303
Top hit found! SNR 11.464492, Drift Rate 0.153064, index 409457
Top hit found! SNR 13.429914, Drift Rate 0.153064, index 435969
Top hit found! SNR 11.683959, Drift Rate -0.210463, index 374790
Top hit found! SNR 12.510166, Drift Rate -0.210463, index 374862
Top hit found! SNR 10.085999, Drift Rate -0.172197, index 414369
Top hit found! SNR 10.494556, Drift Rate -0.172197, index 414441
Top hit found! SNR 10.589509, Drift Rate -0.162630, index 414476
Top hit found! SNR 11.323270, Drift Rate -0.172197, index 414512
Top hit found! SNR 12.175956, Drift Rate -0.172197, index 414548
Top hit found! SNR 13.004734, Drift Rate -0.172197, index 414584
Top hit found! SNR 13.611276, Drift Rate -0.162630, index 414691
Top hit found! SNR 15.876241, Drift Rate -0.172197, index 414727
Top hit found! SNR 17.139423, Drift Rate -0.172197, index 414870
Top hit found! SNR 16.405771, Drift Rate -0.172197, index 414906
Top hit found! SNR 17.154879, Drift Rate -0.172197, index 414942
Top hit found! SNR 18.742634, Drift Rate -0.172197, index 415085
Top hit found! SNR 18.113068, Drift Rate -0.172197, index 415228
Top hit found! SNR 11.140491, Drift Rate -0.162630, index 415550
Top hit found! SNR 11.388583, Drift Rate -0.172197, index 415586
Top hit found! SNR 10.022805, Drift Rate -0.162630, index 441284
Top hit found! SNR 10.573547, Drift Rate -0.172197, index 441320
Top hit found! SNR 10.166856, Drift Rate -0.172197, index 441356
Top hit found! SNR 11.374137, Drift Rate -0.162630, index 441463
Top hit found! SNR 11.005706, Drift Rate -0.162630, index 441642
Top hit found! SNR 20.633556, Drift Rate -0.172197, index 468557
Top hit found! SNR 17.317614, Drift Rate -0.172197, index 468700
Top hit found! SNR 11.549944, Drift Rate -0.172197, index 468879
Top hit found! SNR 12.816368, Drift Rate -0.172197, index 468915
Top hit found! SNR 11.157450, Drift Rate -0.162630, index 469058
Top hit found! SNR 10.855152, Drift Rate -0.162630, index 469559
Top hit found! SNR 11.820431, Drift Rate -0.172197, index 469595
Top hit found! SNR 11.868143, Drift Rate -0.162630, index 469738
Top hit found! SNR 13.105434, Drift Rate -0.162630, index 469917
Top hit found! SNR 12.773863, Drift Rate -0.172197, index 469953
Top hit found! SNR 12.331546, Drift Rate -0.162630, index 470060
Top hit found! SNR 12.887504, Drift Rate -0.172197, index 470096
Top hit found! SNR 12.234412, Drift Rate -0.162630, index 470239
Top hit found! SNR 13.191558, Drift Rate -0.172197, index 470275
Top hit found! SNR 12.102289, Drift Rate -0.162630, index 470418
Top hit found! SNR 12.363487, Drift Rate -0.172197, index 470454
Top hit found! SNR 10.432808, Drift Rate -0.172197, index 470597
Top hit found! SNR 10.545722, Drift Rate -0.172197, index 470776
Top hit found! SNR 10.508783, Drift Rate -0.172197, index 470812
Top hit found! SNR 10.171430, Drift Rate -0.172197, index 472709
Top hit found! SNR 11.493955, Drift Rate -0.162630, index 473496
Top hit found! SNR 12.355539, Drift Rate -0.172197, index 473675
Top hit found! SNR 15.201785, Drift Rate -0.172197, index 473854
Top hit found! SNR 16.418938, Drift Rate -0.172197, index 474033
Top hit found! SNR 20.150616, Drift Rate -0.172197, index 474069
Top hit found! SNR 23.640488, Drift Rate -0.172197, index 474212
Top hit found! SNR 28.785719, Drift Rate -0.162630, index 474534
Top hit found! SNR 32.170387, Drift Rate -0.162630, index 474713
Top hit found! SNR 33.642960, Drift Rate -0.172197, index 474785
Top hit found! SNR 31.685184, Drift Rate -0.172197, index 474892
Top hit found! SNR 27.549437, Drift Rate -0.162630, index 475035
Top hit found! SNR 25.904087, Drift Rate -0.162630, index 475214
Top hit found! SNR 20.284077, Drift Rate -0.172197, index 475393
Top hit found! SNR 18.968889, Drift Rate -0.172197, index 475644
Top hit found! SNR 15.332648, Drift Rate -0.191330, index 476072
Top hit found! SNR 16.243931, Drift Rate -0.162630, index 476252
Top hit found! SNR 18.073372, Drift Rate -0.172197, index 476610
Top hit found! SNR 17.533903, Drift Rate -0.162630, index 476753
Top hit found! SNR 19.199778, Drift Rate -0.172197, index 476789
Top hit found! SNR 18.510303, Drift Rate -0.162630, index 476932
Top hit found! SNR 20.096653, Drift Rate -0.162630, index 477111
Top hit found! SNR 21.031143, Drift Rate -0.162630, index 477290
Top hit found! SNR 22.362349, Drift Rate -0.172197, index 477469
Top hit found! SNR 21.570908, Drift Rate -0.162630, index 477612
Top hit found! SNR 24.699823, Drift Rate -0.162630, index 477648
Top hit found! SNR 24.657562, Drift Rate -0.162630, index 477791
Top hit found! SNR 25.058697, Drift Rate -0.162630, index 477970
Top hit found! SNR 28.442587, Drift Rate -0.172197, index 478149
Top hit found! SNR 27.308084, Drift Rate -0.162630, index 478292
Top hit found! SNR 28.825157, Drift Rate -0.162630, index 478328
Top hit found! SNR 29.039906, Drift Rate -0.162630, index 478650
Top hit found! SNR 27.766476, Drift Rate -0.172197, index 478829
Top hit found! SNR 30.372799, Drift Rate -0.172197, index 479187
Top hit found! SNR 28.890707, Drift Rate -0.162630, index 479330
Top hit found! SNR 26.983381, Drift Rate -0.172197, index 479688
Top hit found! SNR 29.131762, Drift Rate -0.172197, index 479867
Top hit found! SNR 25.415735, Drift Rate -0.162630, index 480189
Top hit found! SNR 26.992197, Drift Rate -0.162630, index 480368
Top hit found! SNR 20.237408, Drift Rate -0.162630, index 480690
Top hit found! SNR 19.358786, Drift Rate -0.162630, index 481048
Top hit found! SNR 21.409250, Drift Rate -0.162630, index 481227
Top hit found! SNR 16.347721, Drift Rate -0.162630, index 481549
Top hit found! SNR 15.821042, Drift Rate -0.172197, index 481764
Top hit found! SNR 14.386888, Drift Rate -0.162630, index 481907
Top hit found! SNR 16.224512, Drift Rate -0.172197, index 481943
Top hit found! SNR 14.247174, Drift Rate -0.172197, index 481979
Top hit found! SNR 13.726842, Drift Rate -0.162630, index 482086
Top hit found! SNR 13.471817, Drift Rate -0.172197, index 482301
