
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.21714069261334942, min_drift=0.14476046174223298, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 109.885513, Drift Rate -0.210463, index 796422
Top hit found! SNR 80.402756, Drift Rate 0.153064, index 796539
Top hit found! SNR 102.697952, Drift Rate -0.210463, index 796589
Top hit found! SNR 93.707550, Drift Rate -0.210463, index 796765
Top hit found! SNR 129.083252, Drift Rate -0.200896, index 796885
Top hit found! SNR 411.100189, Drift Rate 0.172197, index 797005
Top hit found! SNR 118.442604, Drift Rate 0.153064, index 797339
Top hit found! SNR 103.209930, Drift Rate 0.162630, index 797387
Top hit found! SNR 83.990868, Drift Rate 0.153064, index 797542
Top hit found! SNR 79.850540, Drift Rate -0.181763, index 797616
Top hit found! SNR 67.510185, Drift Rate -0.210463, index 797674
Top hit found! SNR 77.616470, Drift Rate -0.210463, index 797758
Top hit found! SNR 20.460466, Drift Rate -0.191330, index 798002
Top hit found! SNR 12.117258, Drift Rate -0.210463, index 798152
Top hit found! SNR 10.393583, Drift Rate -0.210463, index 798293
Top hit found! SNR 10.864713, Drift Rate -0.172197, index 800320
Top hit found! SNR 11.371006, Drift Rate -0.200896, index 800433
Top hit found! SNR 13.403070, Drift Rate -0.191330, index 800494
Top hit found! SNR 21.484287, Drift Rate 0.210463, index 800764
Top hit found! SNR 24.216454, Drift Rate -0.200896, index 800843
Top hit found! SNR 29.207190, Drift Rate -0.162630, index 801013
Top hit found! SNR 30.843393, Drift Rate -0.200896, index 801424
Top hit found! SNR 63.830723, Drift Rate -0.210463, index 801526
