
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.100220, Drift Rate -0.181763, index 94522
Top hit found! SNR 22.783480, Drift Rate -0.621822, index 773551
Top hit found! SNR 17.444962, Drift Rate -0.640955, index 779276
Top hit found! SNR 12.224023, Drift Rate -0.631388, index 786077
Top hit found! SNR 11.412655, Drift Rate -0.621822, index 789657
Top hit found! SNR 37.375694, Drift Rate -0.535723, index 792810
Top hit found! SNR 36.050762, Drift Rate -0.229596, index 794348
Top hit found! SNR 10.886596, Drift Rate -0.621822, index 796815
Top hit found! SNR 11.996688, Drift Rate -0.640955, index 800393
Top hit found! SNR 12.130913, Drift Rate -0.621822, index 802184
Top hit found! SNR 17.576567, Drift Rate -0.621822, index 807195
Top hit found! SNR 20.924383, Drift Rate -0.621822, index 814353
Top hit found! SNR 17.022684, Drift Rate -0.229596, index 817970
Top hit found! SNR 11.335370, Drift Rate -0.621822, index 822585
Top hit found! SNR 16.407694, Drift Rate -0.640955, index 824373
Top hit found! SNR 10.054953, Drift Rate -0.621822, index 827596
Top hit found! SNR 14.788756, Drift Rate -0.621822, index 831175
Top hit found! SNR 10.294621, Drift Rate -0.640955, index 833321
Top hit found! SNR 14.929176, Drift Rate -0.239162, index 837655
Top hit found! SNR 18.062607, Drift Rate -0.621822, index 840123
Top hit found! SNR 17.137020, Drift Rate -0.640955, index 842269
Top hit found! SNR 17.834883, Drift Rate -0.640955, index 845490
Top hit found! SNR 11.276687, Drift Rate -0.621822, index 853366
Top hit found! SNR 12.434100, Drift Rate -0.621822, index 855513
Top hit found! SNR 19.586355, Drift Rate -0.640955, index 859091
Top hit found! SNR 11.871823, Drift Rate -0.602689, index 863030
Top hit found! SNR 15.184296, Drift Rate -0.621822, index 873767
Top hit found! SNR 17.245272, Drift Rate -0.621822, index 885220
Top hit found! SNR 13.843066, Drift Rate -0.621822, index 887368
Top hit found! SNR 15.510436, Drift Rate -0.621822, index 890589
Top hit found! SNR 13.092688, Drift Rate -0.621822, index 896674
Top hit found! SNR 11.389736, Drift Rate -0.640955, index 904188
Top hit found! SNR 15.565872, Drift Rate -0.621822, index 909558
Top hit found! SNR 11.944023, Drift Rate -0.621822, index 912780
Top hit found! SNR 10.940070, Drift Rate -0.621822, index 919222
Top hit found! SNR 11.966351, Drift Rate -0.621822, index 955014
Top hit found! SNR 10.017718, Drift Rate -0.105231, index 35321
Top hit found! SNR 10.900749, Drift Rate -0.162630, index 40477
Top hit found! SNR 12.478030, Drift Rate -0.105231, index 52769
Top hit found! SNR 10.361804, Drift Rate -0.162630, index 54346
Top hit found! SNR 11.755343, Drift Rate -1.042747, index 57016
Top hit found! SNR 16.033693, Drift Rate -0.985348, index 67936
Top hit found! SNR 13.009141, Drift Rate -1.033181, index 69545
Top hit found! SNR 10.553026, Drift Rate -0.966215, index 71338
Top hit found! SNR 10.820205, Drift Rate -1.004481, index 74199
Top hit found! SNR 15.699195, Drift Rate -0.162630, index 76984
Top hit found! SNR 14.532518, Drift Rate -0.133931, index 79229
Top hit found! SNR 17.179382, Drift Rate -1.004481, index 82610
Top hit found! SNR 13.221786, Drift Rate -0.114798, index 85339
Top hit found! SNR 11.209496, Drift Rate -0.095665, index 87577
Top hit found! SNR 13.492863, Drift Rate -0.162630, index 90048
Top hit found! SNR 15.538526, Drift Rate -0.162630, index 92106
Top hit found! SNR 14.524421, Drift Rate -0.133931, index 95693
Top hit found! SNR 13.502740, Drift Rate -1.014048, index 100335
Top hit found! SNR 16.607368, Drift Rate -0.985348, index 106501
Top hit found! SNR 12.885601, Drift Rate -0.985348, index 108561
Top hit found! SNR 12.582695, Drift Rate -0.133931, index 111531
Top hit found! SNR 13.048445, Drift Rate -0.172197, index 115019
Top hit found! SNR 11.411118, Drift Rate -0.162630, index 116727
Top hit found! SNR 14.032248, Drift Rate -1.033181, index 119823
Top hit found! SNR 12.529626, Drift Rate -0.143497, index 124766
Top hit found! SNR 12.015608, Drift Rate -0.162630, index 126830
Top hit found! SNR 15.791924, Drift Rate -0.162630, index 130417
Top hit found! SNR 12.465888, Drift Rate -0.105231, index 135805
Top hit found! SNR 12.214850, Drift Rate -0.985348, index 137550
Top hit found! SNR 12.818007, Drift Rate -0.162630, index 139358
Top hit found! SNR 11.698317, Drift Rate -0.143497, index 143296
Top hit found! SNR 13.277184, Drift Rate -0.162630, index 145539
Top hit found! SNR 11.193597, Drift Rate -1.033181, index 150612
Top hit found! SNR 12.584849, Drift Rate -0.985348, index 152224
Top hit found! SNR 10.111134, Drift Rate -0.143497, index 166284
Top hit found! SNR 11.194814, Drift Rate -0.162630, index 168177
Top hit found! SNR 10.917472, Drift Rate -0.162630, index 173001
Top hit found! SNR 10.478553, Drift Rate -0.162630, index 182046
Top hit found! SNR 22.066643, Drift Rate -0.220029, index 261498
Top hit found! SNR 11.938309, Drift Rate -0.440059, index 427428
Top hit found! SNR 12.636611, Drift Rate -0.487891, index 480218
Top hit found! SNR 10.294324, Drift Rate -0.516590, index 501692
Top hit found! SNR 10.454165, Drift Rate -0.487891, index 505988
Top hit found! SNR 12.730649, Drift Rate -0.487891, index 520483
Top hit found! SNR 12.876683, Drift Rate -0.487891, index 525673
Top hit found! SNR 10.283476, Drift Rate -0.487891, index 532294
Top hit found! SNR 10.061265, Drift Rate -0.487891, index 557169
Top hit found! SNR 10.621462, Drift Rate -0.516590, index 563611
Top hit found! SNR 10.029122, Drift Rate -0.487891, index 565938
Top hit found! SNR 11.557749, Drift Rate -0.478325, index 580077
Top hit found! SNR 12.008495, Drift Rate -0.440059, index 590995
Top hit found! SNR 16.446741, Drift Rate -0.487891, index 594392
Top hit found! SNR 13.076122, Drift Rate -0.478325, index 597078
Top hit found! SNR 13.974059, Drift Rate -0.440059, index 603164
Top hit found! SNR 11.237708, Drift Rate -0.440059, index 611396
Top hit found! SNR 11.368881, Drift Rate -0.440059, index 641103
Top hit found! SNR 10.237878, Drift Rate -0.440059, index 648798
Top hit found! SNR 16.483273, Drift Rate -0.535723, index 655593
Top hit found! SNR 13.779653, Drift Rate -0.487891, index 658280
Top hit found! SNR 12.061736, Drift Rate -0.487891, index 670270
Top hit found! SNR 11.310510, Drift Rate -0.478325, index 682977
Top hit found! SNR 10.131976, Drift Rate -0.497457, index 690313
Top hit found! SNR 14.138642, Drift Rate -0.440059, index 694969
Top hit found! SNR 16.288759, Drift Rate -0.440059, index 697653
Top hit found! SNR 11.459023, Drift Rate -0.487891, index 712146
Top hit found! SNR 11.187312, Drift Rate -0.478325, index 741854
Top hit found! SNR 13.870593, Drift Rate -0.487891, index 750085
Top hit found! SNR 12.925649, Drift Rate -0.497457, index 756169
Top hit found! SNR 15.121587, Drift Rate -0.487891, index 758854
Top hit found! SNR 11.187982, Drift Rate -0.487891, index 762254
Top hit found! SNR 12.169031, Drift Rate -0.487891, index 773170
Top hit found! SNR 10.048040, Drift Rate -0.526157, index 787306
Top hit found! SNR 10.650570, Drift Rate -0.487891, index 789634
Top hit found! SNR 10.206400, Drift Rate -0.535723, index 820949
Top hit found! SNR 13.358671, Drift Rate -0.487891, index 827394
Top hit found! SNR 12.318413, Drift Rate -0.497457, index 832763
Top hit found! SNR 10.824288, Drift Rate -0.487891, index 847258
Top hit found! SNR 11.173501, Drift Rate -0.487891, index 851553
Top hit found! SNR 13.323114, Drift Rate -0.487891, index 873028
Top hit found! SNR 10.061937, Drift Rate -0.478325, index 886272
Top hit found! SNR 11.221888, Drift Rate -0.478325, index 925822
Top hit found! SNR 41.126919, Drift Rate 0.086098, index 259623
Top hit found! SNR 188.950806, Drift Rate -0.000000, index 410135
Top hit found! SNR 1028.451416, Drift Rate -0.000000, index 415505
Top hit found! SNR 11.590138, Drift Rate -0.000000, index 421947
Top hit found! SNR 281.752258, Drift Rate -0.000000, index 428388
Top hit found! SNR 64.968277, Drift Rate -0.000000, index 431617
Top hit found! SNR 4525.609375, Drift Rate -0.000000, index 434832
Top hit found! SNR 12.446445, Drift Rate -0.602689, index 472627
Top hit found! SNR 90.534203, Drift Rate -0.000000, index 476707
Top hit found! SNR 20.278820, Drift Rate 1.042747, index 479974
Top hit found! SNR 70.191902, Drift Rate -0.009566, index 577671
Top hit found! SNR 11.003483, Drift Rate -0.000000, index 605870
Top hit found! SNR 10.292018, Drift Rate -0.000000, index 607445
Top hit found! SNR 14.424433, Drift Rate -0.000000, index 618970
Top hit found! SNR 12.529709, Drift Rate -0.000000, index 635076
Top hit found! SNR 43.739548, Drift Rate -0.507024, index 775706
Top hit found! SNR 112.310616, Drift Rate -0.000000, index 799210
Top hit found! SNR 10.028774, Drift Rate -0.000000, index 808862
Top hit found! SNR 12.274078, Drift Rate -0.000000, index 811624
Top hit found! SNR 53.614887, Drift Rate -0.000000, index 816506
Top hit found! SNR 53.658760, Drift Rate -0.000000, index 818938
Top hit found! SNR 28.724283, Drift Rate -0.000000, index 826582
Top hit found! SNR 18.627125, Drift Rate -0.000000, index 829277
Top hit found! SNR 18.188482, Drift Rate -0.000000, index 831170
Top hit found! SNR 25.640402, Drift Rate -0.000000, index 833531
Top hit found! SNR 21.661854, Drift Rate -0.000000, index 837353
Top hit found! SNR 54.222599, Drift Rate -0.000000, index 844997
Top hit found! SNR 44.934734, Drift Rate -0.000000, index 847429
Top hit found! SNR 25.491346, Drift Rate -0.000000, index 849861
Top hit found! SNR 35.695728, Drift Rate -0.000000, index 858200
Top hit found! SNR 25.507589, Drift Rate -0.000000, index 863759
Top hit found! SNR 20.647306, Drift Rate -0.000000, index 866886
Top hit found! SNR 17.052408, Drift Rate -0.000000, index 868396
Top hit found! SNR 44.100933, Drift Rate -0.000000, index 874877
Top hit found! SNR 13.192773, Drift Rate -0.000000, index 877786
Top hit found! SNR 31.329887, Drift Rate -0.000000, index 884606
Top hit found! SNR 25.375439, Drift Rate -0.000000, index 888080
Top hit found! SNR 12.048641, Drift Rate -0.000000, index 890450
Top hit found! SNR 18.428774, Drift Rate -0.000000, index 893978
Top hit found! SNR 16.407396, Drift Rate 0.009566, index 896767
Top hit found! SNR 33.230991, Drift Rate -0.000000, index 902326
Top hit found! SNR 37.693283, Drift Rate -0.000000, index 905453
Top hit found! SNR 41.501003, Drift Rate -0.000000, index 907885
Top hit found! SNR 29.282557, Drift Rate -0.000000, index 911012
Top hit found! SNR 10.168789, Drift Rate -0.000000, index 916705
Top hit found! SNR 12.815632, Drift Rate -0.000000, index 922549
Top hit found! SNR 15.199662, Drift Rate -0.000000, index 945042
Top hit found! SNR 20.455704, Drift Rate -0.000000, index 949687
Top hit found! SNR 14.877156, Drift Rate -0.000000, index 953348
Top hit found! SNR 22.829119, Drift Rate -0.000000, index 957555
Top hit found! SNR 16.502964, Drift Rate -0.000000, index 960560
Top hit found! SNR 17.422239, Drift Rate -0.000000, index 967281
Top hit found! SNR 14.179801, Drift Rate -0.000000, index 969029
Top hit found! SNR 15.676037, Drift Rate -0.000000, index 974712
Top hit found! SNR 12.783510, Drift Rate -0.000000, index 977280
Top hit found! SNR 11.896658, Drift Rate -0.000000, index 985039
Top hit found! SNR 10.127980, Drift Rate -0.000000, index 988645
Top hit found! SNR 12.587601, Drift Rate -0.000000, index 993016
Top hit found! SNR 10.744411, Drift Rate -0.000000, index 997606
Top hit found! SNR 334.114105, Drift Rate -0.000000, index 35064
Top hit found! SNR 73.700447, Drift Rate -0.000000, index 128182
Top hit found! SNR 65.955002, Drift Rate -0.000000, index 130252
Top hit found! SNR 59.370724, Drift Rate -0.000000, index 134297
Top hit found! SNR 121.167084, Drift Rate -0.000000, index 136598
Top hit found! SNR 87.512650, Drift Rate -0.000000, index 142174
Top hit found! SNR 71.382019, Drift Rate -0.000000, index 146698
Top hit found! SNR 64.048103, Drift Rate -0.000000, index 148725
Top hit found! SNR 70.837677, Drift Rate -0.000000, index 153480
Top hit found! SNR 56.597706, Drift Rate -0.000000, index 156516
Top hit found! SNR 55.789993, Drift Rate -0.000000, index 159082
Top hit found! SNR 94.649986, Drift Rate -0.000000, index 161194
Top hit found! SNR 45.247726, Drift Rate -0.000000, index 164196
Top hit found! SNR 55.288589, Drift Rate -0.000000, index 168951
Top hit found! SNR 62.672253, Drift Rate -0.000000, index 171748
Top hit found! SNR 67.239525, Drift Rate -0.000000, index 177324
Top hit found! SNR 48.459583, Drift Rate -0.000000, index 179804
Top hit found! SNR 67.751152, Drift Rate -0.000000, index 182267
Top hit found! SNR 59.180656, Drift Rate -0.000000, index 185671
Top hit found! SNR 50.513668, Drift Rate -0.000000, index 187236
Top hit found! SNR 56.793556, Drift Rate -0.000000, index 190503
Top hit found! SNR 47.314251, Drift Rate -0.000000, index 192812
Top hit found! SNR 37.417046, Drift Rate -0.000000, index 196113
Top hit found! SNR 19.296024, Drift Rate -0.000000, index 199765
Top hit found! SNR 21.277744, Drift Rate -0.000000, index 465863
Top hit found! SNR 29.885025, Drift Rate -0.000000, index 467600
Top hit found! SNR 32.404770, Drift Rate -0.000000, index 469337
Top hit found! SNR 20.730103, Drift Rate -0.000000, index 472491
Top hit found! SNR 13.080742, Drift Rate -0.000000, index 475654
Top hit found! SNR 26.687895, Drift Rate -0.000000, index 478037
Top hit found! SNR 15.852712, Drift Rate -0.000000, index 480527
Top hit found! SNR 16.312487, Drift Rate -0.000000, index 483271
Top hit found! SNR 15.336956, Drift Rate -0.000000, index 484910
Top hit found! SNR 13.040136, Drift Rate -0.000000, index 486656
Top hit found! SNR 21.710531, Drift Rate -0.000000, index 490848
Top hit found! SNR 46.943535, Drift Rate -0.000000, index 493311
Top hit found! SNR 27.469730, Drift Rate -0.000000, index 496786
Top hit found! SNR 21.630844, Drift Rate -0.000000, index 500955
Top hit found! SNR 20.812933, Drift Rate -0.000000, index 505472
Top hit found! SNR 23.760939, Drift Rate -0.000000, index 508599
Top hit found! SNR 19.973661, Drift Rate -0.000000, index 510706
Top hit found! SNR 18.909840, Drift Rate -0.000000, index 513116
Top hit found! SNR 15.986249, Drift Rate -0.000000, index 516243
Top hit found! SNR 15.275053, Drift Rate -0.000000, index 518363
Top hit found! SNR 19.055466, Drift Rate -0.000000, index 521018
Top hit found! SNR 26.706007, Drift Rate -0.000000, index 524234
Top hit found! SNR 13.924255, Drift Rate -0.000000, index 527348
Top hit found! SNR 19.773031, Drift Rate -0.000000, index 531094
Top hit found! SNR 16.822424, Drift Rate -0.000000, index 533963
Top hit found! SNR 17.359842, Drift Rate -0.000000, index 537437
Top hit found! SNR 21.125557, Drift Rate -0.000000, index 540132
Top hit found! SNR 39.033253, Drift Rate -0.000000, index 544092
Top hit found! SNR 23.104935, Drift Rate -0.000000, index 546502
Top hit found! SNR 22.379314, Drift Rate -0.000000, index 551371
Top hit found! SNR 31.631987, Drift Rate -0.000000, index 554810
Top hit found! SNR 28.819218, Drift Rate -0.000000, index 557242
Top hit found! SNR 17.946152, Drift Rate -0.000000, index 561411
Top hit found! SNR 17.540710, Drift Rate 0.009566, index 564521
Top hit found! SNR 14.942178, Drift Rate -0.000000, index 566957
Top hit found! SNR 12.935078, Drift Rate -0.000000, index 569064
Top hit found! SNR 14.771872, Drift Rate 0.009566, index 572245
Top hit found! SNR 266.235504, Drift Rate -0.000000, index 657543
Top hit found! SNR 173.435043, Drift Rate -0.000000, index 659691
Top hit found! SNR 21.408308, Drift Rate -0.000000, index 669174
Top hit found! SNR 136.363922, Drift Rate -0.000000, index 675428
Top hit found! SNR 64.709717, Drift Rate -0.000000, index 681682
Top hit found! SNR 61.964619, Drift Rate -0.000000, index 687936
Top hit found! SNR 126.264351, Drift Rate -0.000000, index 694711
Top hit found! SNR 84.736473, Drift Rate -0.000000, index 696796
Top hit found! SNR 66.103683, Drift Rate -0.000000, index 699923
Top hit found! SNR 87.350601, Drift Rate -0.000000, index 706177
Top hit found! SNR 34.386745, Drift Rate -0.000000, index 709565
Top hit found! SNR 49.583241, Drift Rate -0.000000, index 711389
Top hit found! SNR 42.798046, Drift Rate -0.000000, index 713734
Top hit found! SNR 103.473236, Drift Rate -0.000000, index 717122
Top hit found! SNR 37.961861, Drift Rate -0.000000, index 722073
Top hit found! SNR 68.436394, Drift Rate -0.000000, index 725200
Top hit found! SNR 32.364269, Drift Rate -0.000000, index 731454
Top hit found! SNR 23.316261, Drift Rate -0.000000, index 735366
Top hit found! SNR 68.491478, Drift Rate -0.000000, index 738490
Top hit found! SNR 103.662994, Drift Rate -0.000000, index 741617
Top hit found! SNR 113.183937, Drift Rate -0.000000, index 743441
Top hit found! SNR 21.760311, Drift Rate -0.000000, index 748970
Top hit found! SNR 21.791542, Drift Rate -0.000000, index 752124
Top hit found! SNR 22.047794, Drift Rate -0.000000, index 754125
Top hit found! SNR 27.405968, Drift Rate -0.000000, index 756731
Top hit found! SNR 13.088274, Drift Rate -0.000000, index 762985
Top hit found! SNR 273.687866, Drift Rate -0.000000, index 784603
Top hit found! SNR 234.983353, Drift Rate -0.000000, index 786750
Top hit found! SNR 17.221508, Drift Rate -0.000000, index 900810
Top hit found! SNR 12.230458, Drift Rate -0.000000, index 902556
Top hit found! SNR 54.384262, Drift Rate -0.000000, index 905612
Top hit found! SNR 42.998058, Drift Rate -0.000000, index 907968
Top hit found! SNR 48.522652, Drift Rate -0.000000, index 910053
Top hit found! SNR 214.323639, Drift Rate -0.000000, index 913256
Top hit found! SNR 280.978485, Drift Rate -0.000000, index 914993
Top hit found! SNR 336.067719, Drift Rate -0.000000, index 916730
Top hit found! SNR 162.939865, Drift Rate -0.000000, index 921247
Top hit found! SNR 66.577553, Drift Rate -0.000000, index 926027
Top hit found! SNR 82.023590, Drift Rate -0.000000, index 927920
Top hit found! SNR 196.363480, Drift Rate -0.000000, index 930628
Top hit found! SNR 310.712311, Drift Rate -0.000000, index 940704
Top hit found! SNR 161.842560, Drift Rate -0.000000, index 944526
Top hit found! SNR 143.896988, Drift Rate -0.000000, index 947653
Top hit found! SNR 178.824020, Drift Rate -0.000000, index 955992
Top hit found! SNR 101.555145, Drift Rate -0.000000, index 960509
Top hit found! SNR 87.440186, Drift Rate -0.000000, index 962941
Top hit found! SNR 277.631134, Drift Rate -0.000000, index 971627
Top hit found! SNR 49.986549, Drift Rate -0.000000, index 976861
Top hit found! SNR 101.410667, Drift Rate -0.000000, index 981008
Top hit found! SNR 165.321548, Drift Rate -0.000000, index 984830
Top hit found! SNR 54.164158, Drift Rate -0.000000, index 987957
Top hit found! SNR 86.844963, Drift Rate -0.000000, index 990728
Top hit found! SNR 107.122063, Drift Rate -0.000000, index 993516
Top hit found! SNR 79.234787, Drift Rate -0.000000, index 996639
Top hit found! SNR 104.816910, Drift Rate 0.009566, index 999076
Top hit found! SNR 144.118439, Drift Rate -0.000000, index 1001855
Top hit found! SNR 243.545441, Drift Rate -0.000000, index 1005677
Top hit found! SNR 116.800407, Drift Rate -0.000000, index 1008804
Top hit found! SNR 55.871948, Drift Rate -0.000000, index 1011913
Top hit found! SNR 34.309868, Drift Rate -0.000000, index 1015860
Top hit found! SNR 48.360538, Drift Rate -0.000000, index 1019299
Top hit found! SNR 33.736973, Drift Rate -0.000000, index 1024439
Top hit found! SNR 16.442995, Drift Rate -0.000000, index 1027201
Top hit found! SNR 16.284056, Drift Rate -0.000000, index 1032083
Top hit found! SNR 6383.147949, Drift Rate -0.000000, index 35064
Top hit found! SNR 15.744223, Drift Rate -0.000000, index 103762
Top hit found! SNR 10.187233, Drift Rate -0.000000, index 150906
Top hit found! SNR 20.520670, Drift Rate -0.000000, index 158610
Top hit found! SNR 33.068512, Drift Rate -0.000000, index 163255
Top hit found! SNR 25.480202, Drift Rate -0.000000, index 166916
Top hit found! SNR 36.372047, Drift Rate -0.000000, index 171123
Top hit found! SNR 27.606352, Drift Rate -0.000000, index 174128
Top hit found! SNR 24.771553, Drift Rate -0.000000, index 175822
Top hit found! SNR 21.827034, Drift Rate -0.000000, index 177953
Top hit found! SNR 27.681864, Drift Rate -0.000000, index 180849
Top hit found! SNR 22.585171, Drift Rate -0.000000, index 182597
Top hit found! SNR 29.446373, Drift Rate -0.000000, index 188280
Top hit found! SNR 24.830132, Drift Rate -0.000000, index 190848
Top hit found! SNR 15.971264, Drift Rate -0.000000, index 192706
Top hit found! SNR 16.210850, Drift Rate -0.000000, index 195820
Top hit found! SNR 24.858744, Drift Rate -0.000000, index 198607
Top hit found! SNR 21.579813, Drift Rate -0.000000, index 202213
Top hit found! SNR 24.836618, Drift Rate -0.000000, index 204508
Top hit found! SNR 27.664883, Drift Rate -0.000000, index 206584
Top hit found! SNR 29.353727, Drift Rate -0.000000, index 210464
Top hit found! SNR 12.992071, Drift Rate -0.000000, index 216037
Top hit found! SNR 25.462769, Drift Rate -0.000000, index 218660
Top hit found! SNR 25.390287, Drift Rate -0.000000, index 223031
Top hit found! SNR 26.070524, Drift Rate -0.000000, index 224561
Top hit found! SNR 24.219908, Drift Rate -0.000000, index 227785
Top hit found! SNR 18.088896, Drift Rate -0.000000, index 229697
Top hit found! SNR 22.225212, Drift Rate -0.000000, index 231664
Top hit found! SNR 22.223791, Drift Rate -0.000000, index 236035
Top hit found! SNR 22.028448, Drift Rate -0.000000, index 237948
Top hit found! SNR 19.452324, Drift Rate -0.000000, index 240680
Top hit found! SNR 23.892742, Drift Rate -0.000000, index 245324
Top hit found! SNR 19.884666, Drift Rate -0.000000, index 247947
Top hit found! SNR 24.938437, Drift Rate -0.000000, index 252154
Top hit found! SNR 20.934690, Drift Rate -0.000000, index 255651
Top hit found! SNR 20.263676, Drift Rate -0.000000, index 258984
Top hit found! SNR 22.513077, Drift Rate -0.000000, index 262754
Top hit found! SNR 17.113506, Drift Rate -0.000000, index 273954
Top hit found! SNR 10.793523, Drift Rate -0.000000, index 275593
Top hit found! SNR 21.076269, Drift Rate -0.000000, index 278598
Top hit found! SNR 13.753336, Drift Rate -0.000000, index 280620
Top hit found! SNR 22.731642, Drift Rate -0.000000, index 282259
Top hit found! SNR 16.720802, Drift Rate -0.000000, index 286466
Top hit found! SNR 16.116375, Drift Rate -0.000000, index 289253
Top hit found! SNR 11.126685, Drift Rate -0.000000, index 290783
Top hit found! SNR 13.897968, Drift Rate -0.000000, index 292477
Top hit found! SNR 15.965348, Drift Rate -0.000000, index 296192
Top hit found! SNR 17.331570, Drift Rate -0.000000, index 297941
Top hit found! SNR 18.518543, Drift Rate -0.000000, index 300017
Top hit found! SNR 18.218878, Drift Rate -0.000000, index 303186
Top hit found! SNR 20.771704, Drift Rate -0.000000, index 305973
Top hit found! SNR 14.924262, Drift Rate -0.000000, index 308049
Top hit found! SNR 11.797026, Drift Rate -0.000000, index 310235
Top hit found! SNR 14.843980, Drift Rate -0.000000, index 311874
Top hit found! SNR 24.008226, Drift Rate -0.000000, index 315043
Top hit found! SNR 15.630619, Drift Rate -0.000000, index 318540
Top hit found! SNR 22.351089, Drift Rate -0.000000, index 321928
Top hit found! SNR 11.237638, Drift Rate -0.000000, index 324332
Top hit found! SNR 27.867046, Drift Rate -0.000000, index 325807
Top hit found! SNR 15.941895, Drift Rate -0.000000, index 329796
Top hit found! SNR 28.466141, Drift Rate -0.000000, index 333402
Top hit found! SNR 15.097243, Drift Rate -0.000000, index 336025
Top hit found! SNR 15.586214, Drift Rate -0.000000, index 338101
Top hit found! SNR 20.686682, Drift Rate -0.000000, index 339631
Top hit found! SNR 19.528702, Drift Rate -0.000000, index 341653
Top hit found! SNR 32.820427, Drift Rate -0.000000, index 343128
Top hit found! SNR 21.958731, Drift Rate -0.000000, index 345259
Top hit found! SNR 15.863585, Drift Rate -0.000000, index 348319
Top hit found! SNR 16.525778, Drift Rate -0.000000, index 350231
Top hit found! SNR 24.685127, Drift Rate -0.000000, index 353291
Top hit found! SNR 22.002035, Drift Rate -0.000000, index 356023
Top hit found! SNR 21.666039, Drift Rate -0.000000, index 359356
Top hit found! SNR 18.552717, Drift Rate -0.000000, index 364219
Top hit found! SNR 26.628944, Drift Rate -0.000000, index 368044
Top hit found! SNR 14.059049, Drift Rate -0.000000, index 370448
Top hit found! SNR 11.680341, Drift Rate -0.000000, index 374601
Top hit found! SNR 12.356184, Drift Rate -0.000000, index 378098
Top hit found! SNR 23.671995, Drift Rate 0.019133, index 400721
Top hit found! SNR 21.939390, Drift Rate -1.454106, index 450753
Top hit found! SNR 13.802572, Drift Rate -0.000000, index 490331
Top hit found! SNR 13.293518, Drift Rate -0.000000, index 502055
Top hit found! SNR 21.389399, Drift Rate -0.000000, index 505770
Top hit found! SNR 20.974756, Drift Rate -0.000000, index 509595
Top hit found! SNR 42.627975, Drift Rate -0.000000, index 511726
Top hit found! SNR 57.200928, Drift Rate -0.000000, index 516261
Top hit found! SNR 19.413895, Drift Rate -0.000000, index 519321
Top hit found! SNR 31.577301, Drift Rate -0.000000, index 523255
Top hit found! SNR 34.426262, Drift Rate -0.000000, index 525113
Top hit found! SNR 39.193333, Drift Rate -0.000000, index 527244
Top hit found! SNR 29.733059, Drift Rate -0.000000, index 529921
Top hit found! SNR 49.407555, Drift Rate -0.000000, index 534784
Top hit found! SNR 38.325638, Drift Rate -0.000000, index 537680
Top hit found! SNR 20.997555, Drift Rate -0.000000, index 542871
Top hit found! SNR 28.517296, Drift Rate -0.000000, index 545111
Top hit found! SNR 36.210529, Drift Rate -0.000000, index 546641
Top hit found! SNR 27.754059, Drift Rate -0.000000, index 550247
Top hit found! SNR 29.848843, Drift Rate -0.000000, index 553744
Top hit found! SNR 19.991173, Drift Rate -0.000000, index 556968
Top hit found! SNR 37.048431, Drift Rate -0.000000, index 560793
Top hit found! SNR 16.349346, Drift Rate -0.000000, index 564836
Top hit found! SNR 16.377291, Drift Rate -0.000000, index 566967
Top hit found! SNR 15.678284, Drift Rate -0.000000, index 568825
Top hit found! SNR 22.003891, Drift Rate -0.000000, index 571721
Top hit found! SNR 18.910212, Drift Rate -0.000000, index 576693
Top hit found! SNR 16.981915, Drift Rate -0.000000, index 579261
Top hit found! SNR 16.899387, Drift Rate -0.000000, index 582157
Top hit found! SNR 42.917953, Drift Rate -0.000000, index 587348
Top hit found! SNR 21.101528, Drift Rate -0.000000, index 590845
Top hit found! SNR 19.174368, Drift Rate -0.000000, index 595380
Top hit found! SNR 31.979208, Drift Rate -0.000000, index 597784
Top hit found! SNR 28.220541, Drift Rate -0.000000, index 602046
Top hit found! SNR 10.908284, Drift Rate -0.000000, index 605051
