
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5933 deg>, 'src_raj': <Angle 2.30402 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14680555555, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12684_OFF_HD13908_0016.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 14.662817, Drift Rate -0.000000, index 96240
Top hit found! SNR 12.962048, Drift Rate -0.000000, index 160782
Top hit found! SNR 11.322772, Drift Rate -0.000000, index 228202
Top hit found! SNR 393.546539, Drift Rate -0.000000, index 355756
Top hit found! SNR 155.217438, Drift Rate -0.009566, index 360164
Top hit found! SNR 278.571930, Drift Rate 0.095665, index 524295
Top hit found! SNR 10.343566, Drift Rate -0.000000, index 883449
Top hit found! SNR 104.955711, Drift Rate -0.000000, index 1015371
Top hit found! SNR 16.898045, Drift Rate -0.000000, index 1019980
Top hit found! SNR 20.723854, Drift Rate -0.000000, index 98717
Top hit found! SNR 14.008721, Drift Rate -0.000000, index 131699
Top hit found! SNR 18.453785, Drift Rate 0.009566, index 230640
Top hit found! SNR 22.451143, Drift Rate -0.000000, index 362566
Top hit found! SNR 266.956635, Drift Rate 0.009566, index 524290
Top hit found! SNR 16.169579, Drift Rate -0.000000, index 626410
Top hit found! SNR 51.969063, Drift Rate -0.009566, index 631219
Top hit found! SNR 17.995949, Drift Rate -0.000000, index 890255
Top hit found! SNR 15.617602, Drift Rate -0.000000, index 1015371
Top hit found! SNR 19.941231, Drift Rate 0.009566, index 237450
Top hit found! SNR 29.779621, Drift Rate -0.000000, index 242595
Top hit found! SNR 284.187805, Drift Rate -0.057399, index 524284
Top hit found! SNR 14.956700, Drift Rate -0.000000, index 897065
Top hit found! SNR 12.314917, Drift Rate -0.000000, index 112333
Top hit found! SNR 27.015163, Drift Rate -0.000000, index 117767
Top hit found! SNR 17.204388, Drift Rate -0.000000, index 178296
Top hit found! SNR 21.635199, Drift Rate -0.000000, index 183751
Top hit found! SNR 17.010641, Drift Rate -0.000000, index 249735
Top hit found! SNR 17.043037, Drift Rate -0.000000, index 348706
Top hit found! SNR 16.671732, Drift Rate -0.000000, index 376182
Top hit found! SNR 30.155876, Drift Rate -0.000000, index 381698
Top hit found! SNR 551.912537, Drift Rate -0.000000, index 508104
Top hit found! SNR 538.094238, Drift Rate -0.000000, index 513661
Top hit found! SNR 10.740763, Drift Rate -0.000000, index 518117
Top hit found! SNR 239.626831, Drift Rate 0.009566, index 524288
Top hit found! SNR 16.769753, Drift Rate -0.000000, index 594193
Top hit found! SNR 10.624519, Drift Rate -0.000000, index 645624
Top hit found! SNR 10.311564, Drift Rate -0.000000, index 777588
Top hit found! SNR 18.356167, Drift Rate -0.000000, index 1013512
Top hit found! SNR 152.227524, Drift Rate -0.000000, index 119143
Top hit found! SNR 12.273830, Drift Rate -0.000000, index 124753
Top hit found! SNR 11.733899, Drift Rate -0.000000, index 382987
Top hit found! SNR 226.750443, Drift Rate 0.009566, index 524288
Top hit found! SNR 16.664412, Drift Rate -0.000000, index 646836
Top hit found! SNR 771.955444, Drift Rate -0.000000, index 778758
Top hit found! SNR 122.122833, Drift Rate -0.000000, index 784727
Top hit found! SNR 11.855924, Drift Rate -0.000000, index 910680
Top hit found! SNR 20.811872, Drift Rate -0.000000, index 836
Top hit found! SNR 1095.472656, Drift Rate -0.000000, index 389797
Top hit found! SNR 143.053268, Drift Rate -0.000000, index 395808
Top hit found! SNR 218.368271, Drift Rate 0.066965, index 524293
Top hit found! SNR 12.158410, Drift Rate -0.000000, index 613744
Top hit found! SNR 10.893850, Drift Rate -0.000000, index 653641
Top hit found! SNR 12.323215, Drift Rate -0.000000, index 917490
Top hit found! SNR 21.427311, Drift Rate -0.000000, index 836
Top hit found! SNR 216.470886, Drift Rate -0.114798, index 524280
Top hit found! SNR 30.522520, Drift Rate -0.000000, index 660451
Top hit found! SNR 50.469852, Drift Rate -0.000000, index 271490
Top hit found! SNR 207.248459, Drift Rate -0.124364, index 524279
Top hit found! SNR 16.138491, Drift Rate 0.009566, index 931106
Top hit found! SNR 26.844826, Drift Rate -0.000000, index 938104
Top hit found! SNR 200.468109, Drift Rate -0.009566, index 524286
Top hit found! SNR 12.571255, Drift Rate -0.000000, index 549349
Top hit found! SNR 14.354108, Drift Rate -0.000000, index 153184
Top hit found! SNR 47.045315, Drift Rate -0.000000, index 160594
Top hit found! SNR 194.033386, Drift Rate -0.000000, index 524289
Top hit found! SNR 153.298569, Drift Rate -0.000000, index 412440
