
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=22.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 21.496597, Drift Rate -0.000000, index 57871
Top hit found! SNR 17.331753, Drift Rate -0.000000, index 156812
Top hit found! SNR 2294.812256, Drift Rate -0.000000, index 321715
Top hit found! SNR 157.165771, Drift Rate -0.028699, index 524287
Top hit found! SNR 43.449158, Drift Rate -0.000000, index 585560
Top hit found! SNR 22.463930, Drift Rate -0.000000, index 618541
Top hit found! SNR 39.162685, Drift Rate -0.000000, index 651523
Top hit found! SNR 51.070415, Drift Rate -0.000000, index 717486
Top hit found! SNR 13.455245, Drift Rate -0.000000, index 816427
Top hit found! SNR 19.818804, Drift Rate -0.000000, index 849408
Top hit found! SNR 1208.206055, Drift Rate -0.009566, index 981330
Top hit found! SNR 284.869232, Drift Rate -0.000000, index 986893
Top hit found! SNR 12.159028, Drift Rate -0.000000, index 97658
Top hit found! SNR 24.423132, Drift Rate -0.000000, index 199684
Top hit found! SNR 19.133226, Drift Rate -0.000000, index 262562
Top hit found! SNR 22.782307, Drift Rate 0.009566, index 290614
Top hit found! SNR 30.655666, Drift Rate -0.000000, index 331651
Top hit found! SNR 18.182518, Drift Rate -0.000000, index 427466
Top hit found! SNR 16.211206, Drift Rate -0.000000, index 463613
Top hit found! SNR 150.352600, Drift Rate -0.000000, index 524289
Top hit found! SNR 1075.343262, Drift Rate -0.009566, index 592369
Top hit found! SNR 10.199687, Drift Rate -0.009566, index 727537
Top hit found! SNR 18.865925, Drift Rate -0.000000, index 757273
Top hit found! SNR 13.178915, Drift Rate -0.000000, index 775946
Top hit found! SNR 101.340820, Drift Rate -0.000000, index 856214
Top hit found! SNR 15.314968, Drift Rate -0.000000, index 862296
Top hit found! SNR 18.355604, Drift Rate -0.000000, index 889195
Top hit found! SNR 55.384132, Drift Rate -0.000000, index 922177
Top hit found! SNR 18.184074, Drift Rate -0.000000, index 955159
Top hit found! SNR 29.728815, Drift Rate -0.009566, index 981330
Top hit found! SNR 42.370377, Drift Rate -0.000000, index 988140
Top hit found! SNR 71.677780, Drift Rate -0.000000, index 1022901
Top hit found! SNR 10.269374, Drift Rate -0.000000, index 38505
Top hit found! SNR 16.723257, Drift Rate -0.000000, index 71487
Top hit found! SNR 1420.958618, Drift Rate -0.000000, index 203409
Top hit found! SNR 442.944916, Drift Rate -0.000000, index 209713
Top hit found! SNR 18.528263, Drift Rate -0.009566, index 335330
Top hit found! SNR 14.925618, Drift Rate -0.000000, index 469668
Top hit found! SNR 14.236406, Drift Rate -0.000000, index 473820
Top hit found! SNR 15.227691, Drift Rate -0.000000, index 481694
Top hit found! SNR 19.139196, Drift Rate -0.000000, index 485631
Top hit found! SNR 14.365351, Drift Rate -0.000000, index 491644
Top hit found! SNR 26.927315, Drift Rate -0.000000, index 497156
Top hit found! SNR 19.081839, Drift Rate -0.000000, index 503813
Top hit found! SNR 139.829010, Drift Rate 0.038266, index 524289
Top hit found! SNR 13.716800, Drift Rate -0.000000, index 602802
Top hit found! SNR 432.384308, Drift Rate -0.000000, index 863024
Top hit found! SNR 182.744034, Drift Rate -0.000000, index 866729
Top hit found! SNR 15.832813, Drift Rate -0.000000, index 1022901
Top hit found! SNR 13.304243, Drift Rate -0.000000, index 144255
Top hit found! SNR 95.389107, Drift Rate -0.000000, index 474063
Top hit found! SNR 44.167828, Drift Rate -0.000000, index 477974
Top hit found! SNR 132.459717, Drift Rate 0.038266, index 524289
Top hit found! SNR 12.229078, Drift Rate -0.000000, index 737907
Top hit found! SNR 11.596272, Drift Rate -0.000000, index 869834
Top hit found! SNR 711.168091, Drift Rate -0.000000, index 85102
Top hit found! SNR 52.954147, Drift Rate -0.000000, index 89219
Top hit found! SNR 11.742231, Drift Rate -0.000000, index 92519
Top hit found! SNR 15.410835, Drift Rate -0.000000, index 221071
Top hit found! SNR 15.776309, Drift Rate -0.000000, index 250006
Top hit found! SNR 89.804474, Drift Rate -0.000000, index 348946
Top hit found! SNR 23.524349, Drift Rate -0.000000, index 353034
Top hit found! SNR 27.991869, Drift Rate -0.000000, index 381928
Top hit found! SNR 49.148468, Drift Rate -0.009566, index 414909
Top hit found! SNR 19.723009, Drift Rate -0.000000, index 419017
Top hit found! SNR 28.234777, Drift Rate -0.000000, index 447891
Top hit found! SNR 80.394234, Drift Rate -0.000000, index 480873
Top hit found! SNR 32.518887, Drift Rate -0.000000, index 485000
Top hit found! SNR 123.646202, Drift Rate -0.000000, index 524289
Top hit found! SNR 33.687199, Drift Rate -0.000000, index 579813
Top hit found! SNR 35.140369, Drift Rate -0.000000, index 583971
Top hit found! SNR 121.851616, Drift Rate -0.000000, index 612795
Top hit found! SNR 42.041538, Drift Rate -0.000000, index 617077
Top hit found! SNR 16.972286, Drift Rate -0.009566, index 645776
Top hit found! SNR 992.386414, Drift Rate -0.000000, index 744717
Top hit found! SNR 658.492920, Drift Rate -0.000000, index 749040
Top hit found! SNR 187.676392, Drift Rate -0.000000, index 752505
Top hit found! SNR 50.682941, Drift Rate -0.000000, index 876639
Top hit found! SNR 23.619932, Drift Rate -0.000000, index 880887
Top hit found! SNR 24.462536, Drift Rate -0.000000, index 909621
Top hit found! SNR 21.206774, Drift Rate -0.000000, index 913995
Top hit found! SNR 14.998890, Drift Rate -0.000000, index 1012849
